#Prior LID estimate from AICC2023 (Bouchet et al., 2023)

#depth [m]	LID [m]	uncertainty [m]
0	0	0.22074541530571
0.55	0	0.22074541530571
1.1	0	0.22074541530571
1.65	0	0.22074541530571
2.2	0	0.22074541530571
2.75	0	0.22074541530571
3.3	0	0.22074541530571
3.85	0	0.22074541530571
4.4	0	0.22074541530571
4.95	0	0.22074541530571
5.5	0	0.22074541530571
6.05	0	0.22074541530571
6.6	0	0.22074541530571
7.15	0	0.22074541530571
7.7	0	0.22074541530571
8.25	0	0.22074541530571
8.8	0	0.22074541530571
9.35	0	0.22074541530571
9.9	0	0.22074541530571
10.45	0	0.22074541530571
11	0	0.22074541530571
11.55	0	0.22074541530571
12.1	0	0.22074541530571
12.65	0	0.22074541530571
13.2	0	0.22074541530571
13.75	0	0.22074541530571
14.3	0	0.22074541530571
14.85	0	0.22074541530571
15.4	0	0.22074541530571
15.95	0	0.22074541530571
16.5	0	0.22074541530571
17.05	0	0.22074541530571
17.6	0	0.22074541530571
18.15	0	0.22074541530571
18.7	0	0.22074541530571
19.25	0	0.22074541530571
19.8	0	0.22074541530571
20.35	0	0.22074541530571
20.9	0	0.22074541530571
21.45	0	0.22074541530571
22	0	0.22074541530571
22.55	0	0.22074541530571
23.1	0	0.22074541530571
23.65	0	0.22074541530571
24.2	0	0.22074541530571
24.75	0	0.22074541530571
25.3	0	0.22074541530571
25.85	0	0.22074541530571
26.4	0	0.22074541530571
26.95	0	0.22074541530571
27.5	0	0.22074541530571
28.05	0	0.22074541530571
28.6	0	0.22074541530571
29.15	0	0.22074541530571
29.7	0	0.22074541530571
30.25	0	0.22074541530571
30.8	0	0.22074541530571
31.35	0	0.22074541530571
31.9	0	0.22074541530571
32.45	0	0.22074541530571
33	0	0.22074541530571
33.55	0	0.22074541530571
34.1	0	0.22074541530571
34.65	0	0.22074541530571
35.2	0	0.22074541530571
35.75	0	0.22074541530571
36.3	0	0.22074541530571
36.85	0	0.22074541530571
37.4	0	0.22074541530571
37.95	0	0.22074541530571
38.5	0	0.22074541530571
39.05	0	0.22074541530571
39.6	0	0.22074541530571
40.15	0	0.22074541530571
40.7	0	0.22074541530571
41.25	0	0.22074541530571
41.8	0	0.22074541530571
42.35	0	0.22074541530571
42.9	0	0.22074541530571
43.45	0	0.22074541530571
44	0	0.22074541530571
44.55	0	0.22074541530571
45.1	0	0.22074541530571
45.65	0	0.22074541530571
46.2	0	0.22074541530571
46.75	0	0.22074541530571
47.3	0	0.22074541530571
47.85	0	0.22074541530571
48.4	0	0.22074541530571
48.95	0	0.22074541530571
49.5	0	0.22074541530571
50.05	0	0.22074541530571
50.6	0	0.22074541530571
51.15	0	0.22074541530571
51.7	0	0.22074541530571
52.25	0	0.22074541530571
52.8	0	0.22074541530571
53.35	0	0.22074541530571
53.9	0	0.22074541530571
54.45	0	0.22074541530571
55	0	0.22074541530571
55.55	0	0.22074541530571
56.1	0	0.22074541530571
56.65	0	0.22077390512429
57.2	0	0.22080296929
57.75	0	0.22083221071571
58.3	0	0.22086170770571
58.85	0	0.22089151977429
59.4	0	0.22092136196286
59.95	0	0.22095144301143
60.5	0	0.22098071237286
61.05	0	0.22100957817857
61.6	0	0.22103876105571
62.15	0	0.22106809060714
62.7	0	0.22109766488714
63.25	0	0.22112753272571
63.8	0	0.22115805159
64.35	0	0.22118881046857
64.9	0	0.22121999916714
65.45	0	0.22125148416429
66	0	0.22128202891857
66.55	0	0.22131186161429
67.1	0	0.22134134548
67.65	0	0.22137321670286
68.2	0	0.22140545879429
68.75	0	0.22143752113714
69.3	0	0.22146920451
69.85	0	0.22150072748143
70.4	0	0.22153288527429
70.95	0	0.22156481284286
71.5	0	0.22159577848286
72.05	0	0.22162573158857
72.6	0	0.22165568491143
73.15	0	0.22168543387429
73.7	0	0.22171464275429
74.25	0	0.22174452608571
74.8	0	0.22177438796857
75.35	0	0.22180408323286
75.9	0	0.22183350989714
76.45	0	0.22186241486143
77	0	0.22189154093714
77.55	0	0.22192140902857
78.1	0	0.22195091001857
78.65	0	0.22198134992429
79.2	0	0.22201238390571
79.75	0	0.22204267453571
80.3	0	0.22207273368
80.85	0	0.22210271543143
81.4	0	0.22213243836714
