#depth	thinning	uncertainty (%)
depth	thinning	rel_unc	comment
0.0	1.0	0.0125
7.7688	0.99911	0.013041607030256927
19.492	0.99734	0.013859867246876692
30.136	0.99543	0.01460273449664969
40.195	0.9934	0.015304006442520637
49.131	0.99137	0.015927453927393403
58.188	0.98935	0.016559357153686765
66.613	0.98733	0.017147255730100373
74.908	0.9853	0.01772658073683142
82.825	0.98327	0.018278804397571367
90.618	0.98125	0.018822929936305733
98.584	0.97912	0.01937862570471444
106.72	0.9769	0.019945746749923225
114.89	0.97467	0.020515661711143256
122.77	0.97245	0.02106535040361972
130.59	0.97026	0.02161173293756313
138.5	0.96812	0.022163574763459076
145.82	0.96595	0.022674051451938508
153.55	0.96376	0.023213248111563046
161.48	0.9616	0.023766638935108154
169.24	0.95945	0.02430767627286466
176.82	0.9573	0.0248375639820328
184.62	0.95515	0.02538135371407632
192.48	0.95296	0.025929734721289455
200.34	0.95071	0.026478105836690472
208.3	0.94847	0.02703301105991755
216.13	0.94626	0.02757910088136453
224.02	0.94405	0.028129866002860018
231.71	0.94186	0.028666680823052258
240.13	0.93961	0.02925362650461362
248.3	0.9373	0.029823962445321667
256.36	0.93497	0.030386001689893794
264.64	0.93263	0.03096404790753032
272.88	0.93032	0.03153861037062516
281.27	0.92804	0.03212469290116805
289.23	0.9258	0.032679844458846405
296.99	0.92359	0.03322145107677649
305.04	0.92133	0.03378268372895705
313.19	0.91901	0.034352183327711346
321.67	0.91669	0.03494311053900446
329.84	0.91438	0.03551368140160546
338.02	0.91208	0.03608345759143935
346.12	0.90981	0.03664831118585199
353.88	0.90752	0.0371903649506347
362.33	0.90522	0.037779766244669805
370.46	0.90297	0.038346788929864775
378.33	0.90077	0.03889561153235565
386.21	0.89854	0.03944621274511986
394.39	0.89625	0.04001673640167364
402.31	0.894	0.04056935123042506
410.35	0.89179	0.04113075948373496
417.87	0.88965	0.04165458326308098
425.18	0.88761	0.04216491477112696
432.83	0.88549	0.04269952229838846
440.93	0.88327	0.043264234039421694
448.56	0.88107	0.043796747137003864
456.05	0.87892	0.04431916442907204
464.22	0.87673	0.04488839209334687
471.89	0.87449	0.04542419009937221
479.89	0.87229	0.04598241410540073
487.3	0.87015	0.04650002873067862
495.09	0.86797	0.04704310056799198
503.07	0.86572	0.04759968581065471
510.9	0.8635	0.04814591777649102
518.5	0.86134	0.0486764808321917
526.13	0.85918	0.04920854768500197
533.84	0.85701	0.0497462106626527
542.11	0.85479	0.050323471261947375
550.38	0.85249	0.05090030381588054
558.41	0.85021	0.05146140365321509
566.52	0.84795	0.05202665251488885
574.35	0.84571	0.05257239479254118
582.41	0.84349	0.05313518832469857
590.23	0.84127	0.053680744588538755
598.22	0.83906	0.054238075942125714
605.57	0.83686	0.05475109337284611
613.6	0.83468	0.05531221545981694
621.2	0.8325	0.055841441441441445
629.11	0.83032	0.05639392041622507
637.1	0.82814	0.0569505156133021
644.81	0.82596	0.05748946680226645
652.4	0.8238	0.05801772274823986
659.93	0.82165	0.0585443923811842
667.34	0.81955	0.059060460008541274
674.63	0.81751	0.05956991351787746
681.94	0.81548	0.06007995291116889
689.23	0.81345	0.060588849960046716
696.32	0.81144	0.06108276643990929
703.37	0.80943	0.06157542962331518
710.56	0.80741	0.0620762685624404
717.87	0.80536	0.06258691765173338
725.09	0.80335	0.06308956245721042
732.17	0.80139	0.06358452189321054
739.2	0.79942	0.06407520452327937
746.17	0.79741	0.06456151791424738
753.65	0.79539	0.06508253812595079
760.56	0.79336	0.06556418271654735
767.77	0.79133	0.06606851755904616
774.95	0.7893	0.06656911187127834
782.46	0.78725	0.06709304541124166
790.11	0.78515	0.06762656817168694
797.08	0.7831	0.0681126292938322
804.16	0.78112	0.06860661614092585
811.37	0.77913	0.06910913454750811
818.51	0.7771	0.06960751512031914
825.72	0.77507	0.07011108674055247
832.89	0.77305	0.07061121531595628
840.19	0.77102	0.0711200747062333
847.58	0.76895	0.07163664737629234
854.87	0.7669	0.07214499934802451
862.17	0.76485	0.07265346146303196
869.44	0.76283	0.07316177916442719
876.32	0.76084	0.07364097576362968
883.31	0.75885	0.07412927456018975
890.24	0.75685	0.07461319944506838
897.65	0.75485	0.07513015830959793
904.93	0.75283	0.07563859038561163
912.15	0.75084	0.0761413883117575
919.3	0.74888	0.07663978207456469
925.87	0.74693	0.07709959433949634
932.92	0.74498	0.07759000241617225
939.77	0.74304	0.07806847545219638
946.67	0.74112	0.07855003238341969
953.36	0.73921	0.07901678819280042
960.26	0.73732	0.07949736884934629
966.7	0.73542	0.07994751298577683
973.78	0.73349	0.08044145114452822
980.66	0.73158	0.0809207468766232
987.65	0.72968	0.08140965902861529
993.99	0.7278	0.08185078318219291
1000.6	0.72596	0.08231583007328226
1007.0	0.72411	0.08275952548645923
1013.9	0.72224	0.08323964333185645
1020.6	0.72039	0.0837116006607532
1027.0	0.71859	0.08415229825074104
1033.2	0.71679	0.08458404832656706
1039.6	0.71499	0.08503475573084938
1045.8	0.7132	0.08546831183398768
1052.4	0.7114	0.08592493674444757
1058.8	0.70962	0.08637439756489389
1065.1	0.70784	0.086813404159132
1071.3	0.70606	0.08724754270175339
1077.8	0.70428	0.0876966547395922
1084.0	0.70253	0.08813004426857216
1090.2	0.70081	0.08856323397211797
1096.3	0.69908	0.08898695428277163
1102.5	0.69733	0.08941964349733986
1108.7	0.69558	0.0898559475545588
1115.1	0.69383	0.0903002176325613
1121.2	0.69207	0.09072637160980826
1127.5	0.69027	0.09116432700247729
1134.0	0.68849	0.09162079333033159
1140.2	0.68671	0.09205050166737051
1146.5	0.68495	0.09249434265274838
1152.6	0.68323	0.092914538296035
1158.8	0.68151	0.09334859356429105
1165.1	0.67978	0.09378769601930037
1171.2	0.67805	0.09421576579898236
1177.4	0.67632	0.09464454696001892
1183.3	0.67459	0.09506070353844558
1189.6	0.67285	0.09549825369696069
1195.6	0.67112	0.0959202527118846
1201.9	0.66943	0.09635660188518591
1207.7	0.66776	0.09676081226788068
1213.5	0.66612	0.09716567585420044
1219.5	0.66446	0.09758450471059205
1225.5	0.66276	0.09800229343955578
1231.4	0.66107	0.09841771673196482
1237.3	0.6594	0.09882772217167123
1243.1	0.65776	0.09923224276331792
1248.7	0.65618	0.09962053095187295
1254.5	0.65461	0.10002749728846182
1260.2	0.65304	0.1004287639348279
1265.5	0.65148	0.10079511266654388
1271.0	0.64994	0.1011801089331323
1276.7	0.6484	0.10157464528069093
1281.9	0.64689	0.10194159748952683
1287.2	0.64539	0.10231023102310231
1292.4	0.64393	0.10267575668162687
1297.8	0.64245	0.10304770799283991
1303.0	0.64095	0.10341212263047038
1308.4	0.63946	0.10378600694335845
1313.8	0.63798	0.10416627480485283
1318.8	0.63651	0.10451681827465398
1324.0	0.63506	0.10487512990898498
1329.3	0.6336	0.10524305555555556
1334.7	0.6321	0.10562094605283974
1340.1	0.63061	0.10599895339433248
1345.2	0.62915	0.10635778431216722
1350.3	0.6277	0.10671180500238968
1355.5	0.62626	0.10707214256059783
1360.7	0.62481	0.10743426001504458
1365.9	0.62333	0.107800041711453
1371.2	0.62184	0.10816769587032035
1376.4	0.62035	0.10853389215765294
1381.8	0.61886	0.1089083152894031
1387.0	0.61739	0.10927452663632388
1392.3	0.61592	0.1096408624496688
1397.5	0.61446	0.11000716075904046
1402.7	0.613	0.11036867862969003
1407.8	0.61156	0.11072012558048269
1412.8	0.61013	0.11107468900070477
1417.9	0.6087	0.11142763265976671
1423.0	0.60729	0.11178020385647713
1427.9	0.60589	0.11212926438792518
1433.0	0.6045	0.11247808105872621
1437.6	0.60313	0.11280652595626149
