#top depth (m)	bottom depth (m)	duration (yr)	sigma duration (yr)
depth_top	depth_bot	duration	dur_unc	comment
1206.034	1223.554	100	0.5999999999999979
1223.554	1241.139	100	0.6000000000000014
1241.139	1257.743	100	0.6000000000000014
1257.743	1273.979	100	0.5999999999999979
1273.979	1289.649	100	0.6000000000000014
1289.649	1305.378	100	0.5
1305.378	1320.706	100	0.5999999999999979
1320.706	1336.384	100	0.6000000000000014
1336.384	1351.702	100	0.6000000000000014
1351.702	1367.008	100	0.5999999999999979
1367.008	1382.653	100	0.6000000000000014
1382.653	1398.168	100	0.5999999999999979
1398.168	1413.189	100	0.6000000000000014
1413.189	1428.047	100	0.5
1428.047	1442.456	100	0.5
1442.456	1457.216	100	0.5999999999999979
1457.216	1470.99	100	0.5999999999999979
1470.99	1484.021	100	0.6000000000000014
1484.021	1497.128	100	0.6000000000000014
1497.128	1509.557	100	0.6000000000000014
1509.557	1522.555	100	0.6000000000000014
1522.555	1535.279	100	0.5999999999999943
1535.279	1547.982	100	0.5
1547.982	1560.268	100	0.6000000000000014
1560.268	1572.818	100	0.6000000000000014
1572.818	1585.082	100	0.6000000000000014
1585.082	1597.577	100	0.6000000000000014
1597.577	1609.965	100	0.5999999999999943
1609.965	1622.041	100	0.6000000000000014
1622.041	1633.716	100	0.6000000000000014
1633.716	1644.951	100	0.5
1644.951	1656.669	100	0.5
1656.669	1667.938	100	0.6000000000000014
1667.938	1679.262	100	0.5999999999999943
1679.262	1690.279	100	0.6000000000000014
1690.279	1700.947	100	0.6000000000000014
1700.947	1711.527	100	0.6000000000000014
1711.527	1721.691	100	0.6000000000000014
1721.691	1732.347	100	0.5999999999999943
1732.347	1742.566	100	0.5
1742.566	1753.408	100	0.6000000000000014
1753.408	1764.017	100	0.6000000000000014
1764.017	1774.443	100	0.6000000000000014
1774.443	1784.876	100	0.6000000000000014
1784.876	1795.193	100	0.5999999999999943
1795.193	1805.212	100	0.6000000000000014
1805.212	1815.29	100	0.6000000000000014
1815.29	1825.284	100	0.5
1825.284	1835.193	100	0.5
1835.193	1845.403	100	0.6000000000000014
1845.403	1855.177	100	0.5999999999999943
1855.177	1865.16	100	0.6000000000000014
1865.16	1874.872	100	0.6000000000000014
1874.872	1885.187	100	0.6000000000000014
1885.187	1895.385	100	0.6000000000000014
1895.385	1905.773	100	1.3999999999999986
1905.773	1916.026	100	2.6000000000000014
1916.026	1926.846	100	2.5
1926.846	1937.953	100	2.5
1937.953	1949.295	100	2.6000000000000085
1949.295	1961.494	100	2.5999999999999943
1961.494	1972.916	100	2.5
1972.916	1983.452	100	2.5
1983.452	1993.211	100	2.6000000000000085
1993.211	2002.095	100	2.5
2002.095	2010.848	100	2.5
2010.848	2019.732	100	2.6000000000000085
2019.732	2028.461	100	2.5999999999999943
2028.461	2037.682	100	2.5
2037.682	2046.445	100	2.5
2046.445	2055.588	100	2.6000000000000085
2055.588	2064.34	100	2.5
2064.34	2073.188	100	2.5
2073.188	2082.676	100	2.6000000000000085
2082.676	2092.377	100	2.5999999999999943
2092.377	2102.212	100	2.5
2102.212	2112.023	100	2.5
2112.023	2121.169	100	2.6000000000000085
2121.169	2130.332	100	2.5
2130.332	2139.458	100	2.5
2139.458	2148.726	100	2.6000000000000085
2148.726	2158.301	100	2.5999999999999943
2158.301	2167.672	100	2.5
2167.672	2176.412	100	2.5
2176.412	2184.928	100	2.5999999999999943
2184.928	2193.384	100	2.5
2193.384	2201.748	100	2.5
2201.748	2210.4	100	2.5999999999999943
2210.4	2218.918	100	2.5999999999999943
2218.918	2227.877	100	2.5
2227.877	2236.889	100	1.8000000000000114
2236.889	2245.737	100	1.0
2245.737	2254.412	100	1.0
2254.412	2262.74	100	1.0
2262.74	2271.029	100	1.0
2271.029	2279.129	100	1.0
2279.129	2286.976	100	1.0
2286.976	2295.205	100	1.0
2295.205	2303.289	100	1.0
2303.289	2310.619	100	1.0
2310.619	2317.692	100	1.0
2317.692	2324.763	100	1.0
2324.763	2331.424	100	1.0
2331.424	2337.726	100	1.0
2337.726	2344.712	100	1.0
2344.712	2350.535	100	1.0
2350.535	2356.383	100	1.0
2356.383	2361.63	100	1.0
2361.63	2366.924	100	1.0
2366.924	2371.947	100	1.0
2371.947	2376.737	100	1.0
2376.737	2381.881	100	1.0
2381.881	2386.689	100	1.0
2386.689	2391.071	100	1.0
2391.071	2395.847	100	1.0
2395.847	2400.133	100	1.0
2400.133	2404.178	100	1.0
2404.178	2408.136	100	1.0
2408.136	2411.944	100	1.0
2411.944	2415.798	100	1.0
2415.798	2419.583	100	1.0
2419.583	2423.226	100	1.0
2423.226	2426.85	100	1.0
2426.85	2430.459	100	1.0
2430.459	2434.106	100	1.0
2434.106	2437.616	100	1.0
2437.616	2441.121	100	1.0
2441.121	2444.295	100	1.0
2444.295	2447.387	100	1.0
2447.387	2450.561	100	1.0
2450.561	2453.714	100	1.0
2453.714	2456.875	100	1.0
2456.875	2459.941	100	1.0
2459.941	2463.127	100	1.0
2463.127	2466.203	100	1.0
2466.203	2469.252	100	1.0
2469.252	2472.348	100	1.0
2472.348	2475.346	100	1.0
2475.346	2478.346	100	1.0
2478.346	2481.474	100	1.0
2481.474	2484.7	100	1.0
2484.7	2487.791	100	1.0
2487.791	2491.03	100	1.0
2491.03	2494.096	100	1.0
2494.096	2497.092	100	1.0
2497.092	2500.414	100	1.0
2500.414	2503.445	100	1.0
2503.445	2506.579	100	1.0
2506.579	2509.731	100	1.0
2509.731	2512.902	100	1.0
2512.902	2515.97	100	1.0
2515.97	2519.275	100	1.0
2519.275	2522.524	100	1.0
2522.524	2525.726	100	1.0
2525.726	2528.822	100	1.0
2528.822	2531.731	100	1.0
2531.731	2534.683	100	1.0
2534.683	2537.683	100	1.0
2537.683	2540.549	100	1.0
2540.549	2543.315	100	1.0
2543.315	2546.151	100	1.0
2546.151	2549.092	100	1.0
2549.092	2551.955	100	1.0
2551.955	2554.878	100	1.0
2554.878	2557.832	100	1.0
2557.832	2560.663	100	1.0
2560.663	2563.538	100	1.0
2563.538	2566.416	100	1.0
2566.416	2569.46	100	1.0
2569.46	2572.362	100	1.0
2572.362	2575.338	100	1.0
2575.338	2578.241	100	1.0
2578.241	2581.263	100	1.0
2581.263	2584.262	100	1.0
2584.262	2587.094	100	1.0
2587.094	2590.119	100	1.0
2590.119	2592.969	100	1.0
2592.969	2595.816	100	1.0
2595.816	2598.655	100	1.0
2598.655	2601.511	100	1.0
2601.511	2604.23	100	1.0
2604.23	2607.179	100	1.0
2607.179	2610.158	100	1.0
2610.158	2613.037	100	1.0
2613.037	2616.079	100	1.0
2616.079	2619.093	100	1.0
2619.093	2622.079	100	1.0
2622.079	2625.109	100	1.0
2625.109	2628.277	100	1.0
2628.277	2631.413	100	1.0
2631.413	2634.498	100	1.0
2634.498	2637.734	100	1.0
2637.734	2641.071	100	1.0
2641.071	2644.249	100	1.0
2644.249	2647.662	100	1.0
2647.662	2651.074	100	1.0
2651.074	2654.428	100	1.0
2654.428	2657.872	100	1.0
2657.872	2661.156	100	1.0
2661.156	2664.431	100	1.0
2664.431	2667.607	100	1.0
2667.607	2670.83	100	0.9999999999999716
2670.83	2674.009	100	1.0
2674.009	2677.184	100	1.0
2677.184	2680.362	100	1.0
2680.362	2683.508	100	1.0
2683.508	2686.705	100	1.0
2686.705	2689.979	100	1.0
2689.979	2693.281	100	1.0
2693.281	2696.64	100	1.0
2696.64	2699.925	100	1.0
2699.925	2703.329	100	1.0
