#depth	accumulation (m ice equiv)	error (%)
depth	deporate	rel_unc	comment
681.063	0.2488	0.08038585209003216
683.24	0.2483	0.08054772452678212
685.279	0.2546	0.07855459544383347
687.634	0.2498	0.08006405124099279
689.756	0.251	0.0796812749003984
691.659	0.2492	0.08025682182985554
693.813	0.2501	0.07996801279488205
696.014	0.2521	0.07933359777865927
698.265	0.2442	0.0819000819000819
700.191	0.2475	0.08080808080808081
702.191	0.2434	0.08627773212818406
704.336	0.2466	0.08515815085158152
706.554	0.2497	0.0841009211053264
708.612	0.2518	0.08339952343129467
710.667	0.2493	0.08423586040914562
712.838	0.2516	0.08346581875993642
715.013	0.2553	0.08225616921269095
717.102	0.2569	0.08174386920980926
719.405	0.2583	0.0813008130081301
721.427	0.2506	0.08379888268156425
723.598	0.2508	0.08373205741626794
725.704	0.2454	0.08557457212713937
727.793	0.2473	0.08491710473109584
729.869	0.247	0.08502024291497977
731.873	0.2461	0.08939455505891913
733.965	0.2453	0.08968609865470852
735.987	0.2469	0.08910490076954232
738.171	0.2543	0.08651199370821863
740.309	0.2521	0.0872669575565252
742.469	0.2443	0.09005321326238232
744.41	0.2437	0.09027492819039802
746.35	0.2434	0.09038619556285948
748.498	0.2581	0.08523827973653622
750.751	0.2625	0.0838095238095238
753.047	0.2598	0.08852963818321787
755.185	0.2493	0.09225832330525471
757.224	0.2444	0.09410801963993452
759.187	0.2513	0.09152407481098288
761.296	0.2525	0.09108910891089109
763.544	0.257	0.08949416342412451
765.617	0.2535	0.09072978303747534
767.636	0.2532	0.09478672985781991
769.806	0.2542	0.0944138473642801
771.999	0.255	0.09411764705882353
774.053	0.2574	0.09324009324009323
776.214	0.2577	0.09313154831199069
778.429	0.2654	0.09042954031650338
780.608	0.2659	0.09025949605114704
782.826	0.2677	0.08965259618976466
785.067	0.2698	0.08895478131949593
787.306	0.2713	0.08846295613711759
789.527	0.2654	0.09042954031650338
791.765	0.2524	0.09508716323296355
793.777	0.2474	0.10105092966855295
795.796	0.2486	0.1005631536604988
797.788	0.2491	0.10036130068245686
799.961	0.2539	0.09846396218983852
802.038	0.2528	0.09889240506329114
804.118	0.2541	0.09838646202282567
806.127	0.2561	0.09761811792268646
808.341	0.2592	0.09645061728395063
810.49	0.2592	0.09645061728395063
812.696	0.2588	0.0965996908809892
814.697	0.2557	0.09777082518576458
816.856	0.2521	0.09916699722332409
818.872	0.2605	0.09596928982725528
821.038	0.2626	0.099009900990099
823.25	0.2593	0.10026995757809487
825.372	0.258	0.10077519379844961
827.447	0.2608	0.09969325153374234
829.609	0.2565	0.10136452241715399
831.729	0.2513	0.10346199761241542
833.687	0.2569	0.10120669521214479
835.795	0.261	0.09961685823754789
838.036	0.2735	0.09872029250457037
840.261	0.2702	0.0999259807549963
842.544	0.2731	0.09886488465763456
844.687	0.2678	0.10082150858849888
846.916	0.2639	0.10231148162182643
849.112	0.2657	0.10161836657884833
851.054	0.2626	0.10281797410510282
853.203	0.2567	0.10518114530580444
855.383	0.2645	0.10207939508506615
857.473	0.266	0.10150375939849623
859.676	0.2649	0.10192525481313702
861.917	0.2631	0.10262257696693272
863.939	0.2668	0.10119940029985008
866.086	0.2665	0.10131332082551595
868.267	0.2649	0.10192525481313702
870.376	0.2634	0.10250569476082004
872.498	0.2549	0.105923891722244
874.567	0.2564	0.10530421216848673
876.458	0.2554	0.10963194988253719
878.716	0.2511	0.11150935882118679
880.741	0.2574	0.10878010878010877
882.681	0.252	0.11111111111111112
884.681	0.2515	0.11133200795228629
886.823	0.2528	0.11075949367088607
888.885	0.2595	0.10789980732177264
890.919	0.2701	0.1036653091447612
893.228	0.2734	0.10241404535479152
895.428	0.2729	0.10626603151337488
897.527	0.2706	0.10716925351071693
899.663	0.2678	0.10828976848394326
901.913	0.2685	0.10800744878957169
904.01	0.2614	0.11094108645753634
905.95	0.2594	0.1117964533538936
908.048	0.261	0.11111111111111112
910.151	0.2679	0.10824934677118327
912.402	0.2645	0.10964083175803403
914.506	0.2681	0.10816859380828049
916.544	0.2624	0.11051829268292683
918.69	0.2536	0.11435331230283913
920.748	0.2486	0.11665325824617861
922.517	0.2462	0.11779041429731926
924.549	0.2508	0.11562998405103668
926.592	0.2565	0.11306042884990254
928.573	0.262	0.11068702290076336
930.781	0.262	0.11068702290076336
932.787	0.266	0.10902255639097744
934.884	0.2567	0.11297234125438256
936.895	0.2556	0.11345852895148671
938.882	0.2571	0.11279657720731234
940.897	0.26	0.11153846153846154
943.059	0.2592	0.11188271604938273
945.041	0.2539	0.11421819614021268
947.004	0.2522	0.11498810467882635
948.921	0.25	0.116
951.031	0.2563	0.11314865392118613
952.895	0.2602	0.11145272867025366
954.995	0.2595	0.11175337186897881
957.085	0.2577	0.1125339542103221
959.083	0.248	0.11693548387096775
960.992	0.2468	0.11750405186385739
962.782	0.2442	0.12285012285012284
964.836	0.2496	0.1201923076923077
966.704	0.2586	0.11600928074245939
968.776	0.2618	0.1145912910618793
970.913	0.2705	0.11090573012939
972.966	0.2709	0.1107419712070875
975.193	0.259	0.11583011583011582
977.106	0.2619	0.11454753722794958
979.12	0.2559	0.11723329425556857
981.133	0.2584	0.11609907120743032
983.125	0.2658	0.11286681715575621
985.19	0.2636	0.11380880121396054
987.306	0.2547	0.11778563015312132
989.247	0.2462	0.12185215272136474
991.018	0.2406	0.12468827930174563
992.845	0.2479	0.11698265429608713
994.832	0.2603	0.1152516327314637
996.968	0.2587	0.11596443757247778
998.944	0.259	0.11583011583011582
1000.713	0.2455	0.12219959266802444
1002.671	0.2429	0.12350761630300534
1004.562	0.2446	0.12264922322158625
1006.373	0.2534	0.11838989739542224
1008.275	0.2575	0.11650485436893203
1010.427	0.2644	0.113464447806354
1012.45	0.2595	0.11560693641618497
1014.435	0.2557	0.11732499022291748
1016.237	0.2522	0.1189532117367169
1018.246	0.2623	0.11437285550895922
1020.361	0.2665	0.1125703564727955
1022.392	0.2559	0.11723329425556857
1024.348	0.2413	0.12432656444260257
1025.998	0.2348	0.12776831345826234
1027.81	0.2363	0.12695725772323316
1029.702	0.2393	0.12118679481821981
1031.568	0.2402	0.12073272273105747
1033.305	0.2375	0.12210526315789474
1035.196	0.2462	0.11779041429731926
1037.038	0.2535	0.11439842209072978
1039.078	0.2555	0.11350293542074365
1040.899	0.2504	0.11581469648562301
1042.82	0.2437	0.12310217480508821
1044.658	0.2509	0.11956954962136308
1046.471	0.2456	0.12214983713355047
1048.393	0.2496	0.1201923076923077
1050.263	0.2525	0.1188118811881188
1052.272	0.251	0.1195219123505976
1054.089	0.251	0.1195219123505976
1056.041	0.2565	0.11695906432748537
1057.778	0.2555	0.11741682974559686
1059.842	0.248	0.12096774193548386
1061.652	0.2487	0.12062726176115801
1063.44	0.2433	0.12330456226880394
1065.301	0.2507	0.11966493817311528
1067.162	0.2482	0.12087026591458501
1069.07	0.2477	0.12111425111021397
1070.845	0.25	0.12
1072.787	0.255	0.11764705882352941
1074.714	0.2554	0.11746280344557555
1076.562	0.2589	0.11587485515643105
1078.4	0.2489	0.12053033346725592
1080.359	0.2471	0.12140833670578713
1082.144	0.2428	0.12355848434925865
1083.931	0.2407	0.12463647694225176
1085.661	0.2454	0.12224938875305623
1087.471	0.2465	0.12170385395537525
1089.336	0.2515	0.11928429423459244
1091.218	0.2475	0.12121212121212122
1093.015	0.2458	0.12205044751830757
1094.758	0.239	0.12552301255230125
1096.546	0.2429	0.12350761630300534
1098.265	0.2462	0.12185215272136474
1100.176	0.2536	0.11829652996845426
1102.101	0.2562	0.117096018735363
1103.933	0.2523	0.11890606420927466
1105.833	0.252	0.11904761904761904
1107.599	0.2542	0.12195121951219513
1109.558	0.2595	0.11946050096339113
1111.308	0.2567	0.12076353720296067
1113.281	0.2517	0.12316249503377037
1115.133	0.247	0.12550607287449392
1116.87	0.2477	0.12515139281388776
1118.608	0.2483	0.12484897301651228
1120.54	0.2471	0.1254552812626467
1122.379	0.2542	0.12195121951219513
1124.083	0.2541	0.12199921290830382
1125.966	0.2547	0.12563800549666276
1127.879	0.2628	0.12176560121765602
1129.671	0.2666	0.12003000750187547
1131.791	0.2693	0.11882658744894171
1133.72	0.2653	0.12061816811157182
1135.586	0.2556	0.12519561815336464
1137.334	0.2526	0.1266825019794141
1139.129	0.257	0.1245136186770428
1141.053	0.2621	0.12209080503624571
1142.885	0.2624	0.12195121951219512
1144.848	0.2574	0.12432012432012432
1146.646	0.252	0.12698412698412698
1148.408	0.2466	0.129764801297648
1150.12	0.2499	0.12805122048819528
1152.014	0.2517	0.12713547874453715
1153.876	0.2596	0.12326656394453005
1155.62	0.2578	0.12412723041117146
1157.476	0.2637	0.12135001896094047
1159.413	0.2626	0.12185833968012186
1161.378	0.2574	0.12432012432012432
1163.056	0.2522	0.12688342585249804
1164.858	0.246	0.13008130081300814
1166.517	0.254	0.12598425196850394
1168.353	0.2534	0.12628255722178375
1170.245	0.2659	0.12034599473486272
1172.051	0.2698	0.11860637509266124
1174.017	0.257	0.1245136186770428
1175.89	0.2569	0.12456208641494744
1177.589	0.2474	0.1333872271624899
1179.321	0.2455	0.13441955193482688
1181.039	0.2472	0.13349514563106796
1182.845	0.2508	0.13157894736842105
1184.661	0.2605	0.12667946257197696
1186.465	0.264	0.125
1188.37	0.2667	0.12373453318335209
1190.295	0.2652	0.12443438914027151
1192.118	0.2585	0.1276595744680851
1193.829	0.2492	0.13242375601926165
1195.543	0.2463	0.13398294762484775
1197.32	0.2613	0.12629161882893228
1199.188	0.2646	0.12471655328798187
1201.066	0.262	0.12595419847328243
1202.959	0.2463	0.13398294762484775
1204.617	0.2464	0.13392857142857142
1206.207	0.2467	0.13376570733684637
1208.008	0.2463	0.13398294762484775
1209.715	0.2513	0.13131715081575807
1211.446	0.245	0.1346938775510204
1213.101	0.2427	0.13597033374536466
1214.756	0.2485	0.13279678068410464
1216.511	0.2552	0.12931034482758622
1218.276	0.2675	0.1233644859813084
1220.222	0.2599	0.12697191227395152
1222.104	0.2561	0.12885591565794613
1223.673	0.2494	0.132317562149158
1225.476	0.2542	0.12981904012588513
1227.195	0.2591	0.1273639521420301
1229.06	0.2548	0.12951334379905807
1230.763	0.2503	0.13184178985217737
1232.468	0.2502	0.13189448441247004
1234.081	0.2526	0.1306413301662708
1236.0	0.2575	0.12815533980582525
1237.693	0.2623	0.12581014105985514
1239.551	0.2517	0.13110846245530394
1241.286	0.2483	0.1329037454691905
1242.815	0.2417	0.1365328920148945
1244.5	0.2348	0.14054514480408858
1246.165	0.2428	0.13591433278418452
1247.661	0.2474	0.1333872271624899
1249.493	0.2496	0.13221153846153846
1251.248	0.2562	0.1288056206088993
1252.882	0.2503	0.1278465840990811
1254.558	0.2423	0.13206768468840283
1256.261	0.2513	0.12733784321528052
1257.86	0.248	0.12903225806451613
1259.671	0.2489	0.13258336681398153
1261.293	0.236	0.1398305084745763
1262.829	0.2307	0.14304291287386217
1264.369	0.2326	0.13757523645743766
1266.007	0.2379	0.13451029844472467
1267.637	0.2409	0.13283520132835203
1269.239	0.2411	0.13272501036914144
1270.829	0.2409	0.13283520132835203
1272.516	0.246	0.13008130081300814
1274.167	0.2481	0.12898024989923418
1275.845	0.2407	0.13294557540506854
1277.406	0.2413	0.1326150020721094
1278.955	0.2325	0.13763440860215054
1280.559	0.2325	0.13763440860215054
1282.039	0.2356	0.13582342954159593
1283.609	0.2343	0.13657703798548868
1285.229	0.2364	0.1353637901861252
1286.77	0.2333	0.13716245177882555
1288.323	0.2294	0.13949433304272016
1289.783	0.2323	0.13775290572535515
1291.383	0.2296	0.13937282229965156
1292.92	0.239	0.13389121338912136
1294.385	0.2389	0.13394725826705736
1296.055	0.2392	0.13377926421404682
1297.674	0.2434	0.1314708299096138
1299.276	0.2338	0.13686911890504705
1300.845	0.2348	0.1362862010221465
1302.27	0.2351	0.13611229264142918
1303.901	0.2362	0.1354784081287045
1305.542	0.2373	0.134850400337126
1307.008	0.2395	0.13361169102296452
1308.638	0.2435	0.13141683778234087
1310.235	0.2432	0.13157894736842105
1311.888	0.2417	0.13239553165080678
1313.386	0.2405	0.13305613305613306
1314.951	0.2272	0.14084507042253522
1316.526	0.2245	0.14253897550111358
1317.927	0.2192	0.145985401459854
1319.327	0.2223	0.14394961763382816
1320.815	0.2313	0.13834846519671423
1322.38	0.2346	0.13640238704177324
1323.945	0.2393	0.13372335979941496
1325.509	0.2396	0.1335559265442404
1327.063	0.24	0.13333333333333333
1328.561	0.239	0.13807531380753138
1330.17	0.2404	0.1372712146422629
1331.734	0.2462	0.13403736799350122
1333.31	0.2474	0.1333872271624899
1334.962	0.2435	0.13552361396303902
1336.505	0.2466	0.13381995133819952
1338.091	0.2427	0.13597033374536466
1339.743	0.2417	0.1365328920148945
1341.275	0.238	0.13865546218487396
1342.719	0.2339	0.1410859341598974
1344.207	0.2306	0.14310494362532525
1345.859	0.2394	0.13784461152882205
1347.27	0.2342	0.14090520922288644
1348.78	0.2334	0.14138817480719795
1350.323	0.2329	0.14169171318162302
1351.789	0.2402	0.1373855120732723
1353.365	0.2358	0.13994910941475827
1354.863	0.2355	0.14012738853503187
1356.417	0.2342	0.14090520922288644
1357.85	0.2405	0.13721413721413722
1359.36	0.2468	0.13371150729335496
1361.045	0.248	0.13306451612903228
1362.643	0.2516	0.13116057233704292
1364.229	0.2355	0.14012738853503187
1365.706	0.2352	0.1403061224489796
1367.183	0.2366	0.1437024513947591
1368.769	0.2456	0.13843648208469056
1370.246	0.2444	0.1391162029459902
1371.953	0.2497	0.13616339607529035
1373.43	0.2462	0.13809910641754672
1375.038	0.2408	0.14119601328903655
1376.494	0.2457	0.13838013838013838
1378.047	0.2417	0.14067025237898223
1379.71	0.2498	0.13610888710968777
1381.242	0.2498	0.13610888710968777
1382.807	0.25	0.136
1384.327	0.2448	0.1388888888888889
1385.925	0.2497	0.13616339607529035
1387.467	0.2429	0.1399752984767394
1389.119	0.2484	0.13687600644122383
1390.531	0.2464	0.137987012987013
1392.117	0.2468	0.13776337115072934
1393.748	0.2433	0.13974517057131117
1395.29	0.2477	0.13726281792490916
1396.701	0.2358	0.1441899915182358
1398.299	0.236	0.1440677966101695
1399.765	0.2447	0.13894564773191664
1401.308	0.2456	0.13843648208469056
1402.873	0.2475	0.1373737373737374
1404.415	0.2433	0.13974517057131117
1405.87	0.2415	0.14078674948240166
1407.358	0.2364	0.14382402707275804
1408.802	0.2381	0.14279714405711885
1410.306	0.2404	0.14143094841930118
1411.811	0.2428	0.14003294892915982
1413.31	0.2405	0.14137214137214138
1414.83	0.2422	0.14037985136251033
1416.362	0.2399	0.14172571904960402
1417.818	0.2439	0.13940139401394014
1419.338	0.237	0.14345991561181437
1420.782	0.2415	0.14078674948240166
1422.281	0.2333	0.14573510501500214
1423.846	0.2396	0.14190317195325544
1425.104	0.2398	0.14178482068390325
1426.691	0.2398	0.14178482068390325
1428.157	0.2427	0.1400906468891636
1429.666	0.2384	0.14261744966442955
1431.067	0.2343	0.14511310285958173
1432.588	0.2309	0.1472498917280208
1433.944	0.2296	0.1480836236933798
1435.301	0.2272	0.14964788732394366
1436.712	0.2356	0.14431239388794567
1438.233	0.2421	0.14043783560512185
1439.699	0.2436	0.13957307060755336
1441.165	0.241	0.14522821576763487
1442.61	0.2407	0.14540922309929374
1444.087	0.2411	0.14516798009124846
1445.596	0.2432	0.14391447368421054
1446.997	0.2444	0.14320785597381344
1448.572	0.2464	0.14204545454545456
1450.06	0.2445	0.14314928425357876
1451.526	0.2435	0.14373716632443534
1453.014	0.239	0.14644351464435149
1454.502	0.2403	0.14148980441115272
1455.968	0.2384	0.14261744966442955
1457.336	0.235	0.1446808510638298
1458.747	0.2313	0.14699524427150887
1460.235	0.2266	0.15004413062665492
1461.614	0.2288	0.14860139860139862
1462.894	0.2223	0.15294646873594242
1464.283	0.224	0.14732142857142858
1465.531	0.2276	0.14499121265377857
1467.041	0.228	0.14473684210526316
1468.364	0.2318	0.14236410698878343
1469.732	0.2253	0.14647137150466047
1471.165	0.2208	0.14945652173913043
1472.424	0.216	0.1527777777777778
1473.627	0.2167	0.15228426395939088
1474.929	0.2205	0.14965986394557823
1476.319	0.2293	0.14391626689925863
1477.752	0.2282	0.14460999123575813
1479.098	0.2248	0.14679715302491103
1480.443	0.2181	0.15130674002751032
1481.625	0.2055	0.16058394160583944
1482.905	0.213	0.15492957746478875
1484.163	0.2194	0.1504102096627165
1485.476	0.2244	0.14705882352941177
1486.898	0.2214	0.14905149051490515
1488.222	0.2178	0.15151515151515152
1489.47	0.2159	0.15284854099119963
1490.695	0.2132	0.15478424015009382
1491.997	0.2214	0.14905149051490515
1493.397	0.2199	0.15006821282401092
1494.677	0.2222	0.1485148514851485
1495.848	0.2171	0.14739751266697376
1497.227	0.2185	0.14645308924485126
1498.572	0.2185	0.14645308924485126
1499.743	0.2147	0.14904517931998137
1501.045	0.2103	0.15216357584403234
1502.292	0.2152	0.14869888475836432
1503.496	0.2096	0.15267175572519084
1504.787	0.2094	0.15759312320916907
1506.001	0.2096	0.15744274809160305
1507.172	0.2114	0.15610217596972564
1508.43	0.2121	0.15558698727015557
1509.688	0.2217	0.14884979702300405
1510.968	0.2199	0.15006821282401092
1512.325	0.2228	0.14811490125673252
1513.561	0.2226	0.14824797843665768
1514.885	0.2137	0.1544220870379036
1516.122	0.2144	0.15858208955223882
1517.358	0.2205	0.1541950113378685
1518.682	0.2247	0.15131286159323543
