#depth	LID	stdev (%)
depth	LID	rel_unc	comment
347.0898	68.5648	0.1
349.464	68.6627	0.1
351.7069	68.7392	0.1
353.906	68.7582	0.1
356.4224	68.7753	0.1
358.8951	68.7317	0.1
361.3896	68.6847	0.1
363.7967	68.6013	0.1
366.3349	68.506	0.1
368.5996	68.4842	0.1
370.9847	68.4466	0.1
373.5012	68.4472	0.1
375.6784	68.4641	0.1
377.9213	68.4363	0.1
380.1642	68.4378	0.1
382.5056	68.4157	0.1
384.7703	68.3976	0.1
387.4071	68.381	0.1
389.7484	68.3588	0.1
392.046	68.3241	0.1
394.5187	68.3458	0.1
396.7725	68.5203	0.1
399.2452	68.6743	0.1
401.5865	68.7637	0.1
403.9388	68.7321	0.1
406.2036	68.6087	0.1
408.7747	68.4811	0.1
410.8753	68.4467	0.1
413.2714	68.4295	0.1
415.3283	68.3965	0.1
417.6478	68.4051	0.1
419.8032	68.4809	0.1
421.8818	68.5594	0.1
424.1576	68.7447	0.1
426.1162	68.8745	0.1
428.3152	68.9432	0.1
430.558	68.846	0.1
433.1183	68.7344	0.1
435.5909	68.4736	0.1
438.0854	68.3793	0.1
440.2407	68.2962	0.1
442.4836	68.1521	0.1
444.6609	68.0702	0.1
447.0679	67.9409	0.1
449.3655	67.7644	0.1
451.5865	67.6008	0.1
453.7419	67.458	0.1
455.941	67.3383	0.1
458.1511	67.356	0.1
460.4705	67.3609	0.1
463.0417	67.4998	0.1
465.4705	67.6339	0.1
467.7572	67.9192	0.1
469.9455	68.1639	0.1
472.2321	68.4186	0.1
474.5953	68.5595	0.1
476.86	68.4911	0.1
479.3983	68.2368	0.1
481.6084	68.0349	0.1
483.7747	67.9148	0.1
485.9739	67.9702	0.1
488.1182	68.0363	0.1
490.3502	68.0595	0.1
492.7681	68.0786	0.1
495.0548	68.1309	0.1
497.3742	68.3002	0.1
499.8032	68.5143	0.1
502.2102	68.6956	0.1
504.4421	68.7201	0.1
506.8381	68.6235	0.1
509.1248	68.4787	0.1
511.313	68.407	0.1
513.4793	68.4665	0.1
515.7879	68.5209	0.1
518.0088	68.5615	0.1
520.4924	68.4634	0.1
522.7681	68.3853	0.1
524.8906	68.3602	0.1
527.232	68.4414	0.1
529.2889	68.6081	0.1
531.5756	68.7967	0.1
533.9388	68.8596	0.1
536.2802	68.8827	0.1
538.6762	68.8516	0.1
541.0394	68.7164	0.1
543.7637	68.5846	0.1
546.0942	68.4257	0.1
548.5558	68.3372	0.1
550.9301	68.3255	0.1
553.1292	68.3842	0.1
555.6018	68.5322	0.1
558.0964	68.7616	0.1
560.7003	68.8701	0.1
563.0526	68.9008	0.1
565.4378	68.9375	0.1
567.5821	69.0655	0.1
569.7921	69.2894	0.1
572.1554	69.6046	0.1
574.5373	69.9107	0.1
576.928	70.1266	0.1
579.3947	70.2668	0.1
581.6585	70.3352	0.1
583.8966	70.288	0.1
586.0589	70.1657	0.1
588.5113	70.0505	0.1
590.8781	69.8845	0.1
593.3333	69.8974	0.1
595.524	69.9758	0.1
597.985	69.9961	0.1
600.2362	69.9913	0.1
602.4309	69.8096	0.1
604.5004	69.6278	0.1
