depth1	depth2	age_unc
120.91505777777779	139.1365	20.0
124.11653066666666	142.90114	20.0
156.3502025	182.41005	20.0
161.67618130000002	188.45998	20.0
177.73122425	208.83713	20.0
189.09732142857146	223.29808	20.0
219.7496294545455	264.103	20.0
231.0215	279.3105	20.0
265.4572866666667	325.77286	20.0
274.9955817	339.464	20.0
284.3513375	351.35205	20.0
290.313515	359.6614	20.0
291.02479999999997	361.01752	20.0
305.16774000000004	380.16846	20.0
337.707884	423.70557	20.0
353.8772485	445.54684	20.0
407.46168795	518.4427	20.0
411.0476144	523.8032	20.0
417.40172	532.688	20.0
423.0719841463415	541.39795	20.0
441.079576	568.0407	20.0
452.88937866666663	583.8395	100.0
459.30090219999994	593.9524	100.0
476.36791999999997	619.32996	100.0
570.6485920000001	747.6572	100.0
583.6298533333334	765.16394	100.0
609.4428	799.7706	100.0
616.979712	810.3125	100.0
638.2451199999999	841.3834	100.0
640.9758228571429	845.08386	100.0
644.8833142857142	850.7301	100.0
685.0087029411765	907.3998	100.0
688.8201	912.8256	100.0
702.0930857142856	931.28845	100.0
747.0584294117648	994.85754	100.0
793.6051428571428	1057.2961	100.0
824.2243846153846	1098.9819	100.0
857.496528	1143.7565	100.0
931.5581999999999	1244.02	100.0
940.12325	1255.5516	100.0
964.1131277777777	1285.7777	100.0
990.029775	1317.8323	100.0
1009.2410285714285	1340.3066	100.0
1011.1537333333332	1342.235	100.0
1014.7120235294118	1346.6412	100.0
1016.2552000000001	1348.8064	100.0
1019.9911583333333	1353.3916	100.0
1031.33906875	1367.7133	100.0
1034.911966666667	1372.6033	100.0
1043.947890909091	1383.8218	100.0
1056.438	1399.3188	100.0
1074.2170285714285	1421.587	100.0
1078.3069857142857	1426.5767	100.0
1084.3834090909093	1433.9701	100.0
1094.2793833333333	1446.1354	100.0
1103.1097000000002	1456.9567	100.0
1108.5333642857142	1463.5116	100.0
1118.43575	1475.1012	100.0
1120.4840000000002	1477.8752	100.0
1125.8636857142858	1483.47	100.0
1127.9705357142857	1485.4048	100.0
1131.4444	1489.2062	100.0
1145.9837538461538	1505.6184	100.0
1162.4822076923078	1524.5071	100.0
1163.6323000000002	1525.9445	100.0
1234.62265	1607.919	100.0
1241.0614084507042	1614.9736	100.0
1248.7529534883722	1624.0154	100.0
1253.2637162162162	1629.4144	100.0
1256.5298421052632	1633.229	100.0
1271.9083076923077	1651.124	100.0
1273.4849473684212	1652.9624	100.0
1292.0290833333333	1674.9333	100.0
1296.2359374999999	1679.8826	100.0
1316.247125	1702.9266	100.0
1341.3380555555555	1732.9674	100.0
1347.28	1741.2144	100.0
1374.4865217391305	1775.345	100.0
1377.2390588235294	1779.3671	100.0
1392.1068448275862	1799.1902	100.0
1394.6915869565216	1802.5999	100.0
1399.410074074074	1808.8666	100.0
1409.84884	1822.9694	100.0
1410.6527714285714	1824.2096	100.0
1413.6597166666666	1828.5771	100.0
1416.8995650000002	1833.0356	100.0
1418.7180155555554	1835.6399	100.0
1419.116835	1836.3109	100.0
1420.6676142857143	1838.8472	100.0
1421.0765333333334	1839.4426	100.0
1422.1043314285716	1840.9191	100.0
1424.2446412499999	1844.0787	100.0
1428.5211785714287	1850.2968	100.0
1449.7870483333331	1884.1968	100.0
1450.7656514285713	1885.9464	100.0
1470.67808	1919.0813	100.0
1479.7406700000001	1937.6833	100.0
1485.105216	1948.5011	100.0
