Age [a] (b2k),Depth ice/snow [m] (NGRIP1),Depth ice/snow [m] (NGRIP2),MCE [a],comb_ngrip
3440,610.92,,4,610.92
3441,611.08,,4,611.08
3442,611.22,,4,611.22
3443,611.42,,4,611.42
3444,611.56,,4,611.56
3445,611.71,,4,611.71
3446,611.85,,4,611.85
3447,611.97,,4,611.97
3448,612.12,,4,612.12
3449,612.26,,4,612.26
3450,612.35,,4,612.35
3451,612.48,,4,612.48
3452,612.64,,4,612.64
3453,612.81,,4,612.81
3454,612.99,,4,612.99
3455,613.17,,4,613.17
3456,613.32,,4,613.32
3457,613.45,,4,613.45
3458,613.6,,4,613.6
3459,613.77,,4,613.77
3460,613.93,,4,613.93
3461,614.08,,4,614.08
3462,614.25,,4,614.25
3463,614.42,,4,614.42
3464,614.55,,4,614.55
3465,614.74,,4,614.74
3466,614.88,,4,614.88
3467,615.09,,4,615.09
3468,615.25,,4,615.25
3469,615.36,,4,615.36
3470,615.51,,4,615.51
3471,615.66,,4,615.66
3472,615.8,,4,615.8
3473,615.94,,4,615.94
3474,616.08,,4,616.08
3475,616.24,,4,616.24
3476,616.41,,4,616.41
3477,616.53,,4,616.53
3478,616.64,,4,616.64
3479,616.79,,4,616.79
3480,616.92,,4,616.92
3481,617.07,,4,617.07
3482,617.2,,4,617.2
3483,617.33,,4,617.33
3484,617.47,,4,617.47
3485,617.64,,4,617.64
3486,617.8,,4,617.8
3487,617.97,,4,617.97
3488,618.11,,4,618.11
3489,618.26,,4,618.26
3490,618.38,,4,618.38
3491,618.57,,4,618.57
3492,618.76,,4,618.76
3493,618.92,,4,618.92
3494,619.03,,4,619.03
3495,619.18,,4,619.18
3496,619.35,,4,619.35
3497,619.52,,4,619.52
3498,619.65,,4,619.65
3499,619.77,,4,619.77
3500,619.98,,4,619.98
3501,620.13,,4,620.13
3502,620.34,,4,620.34
3503,620.5,,4,620.5
3504,620.68,,4,620.68
3505,620.8,,4,620.8
3506,620.95,,4,620.95
3507,621.1,,4,621.1
3508,621.22,,4,621.22
3509,621.37,,4,621.37
3510,621.54,,4,621.54
3511,621.65,,4,621.65
3512,621.8,,4,621.8
3513,621.95,,4,621.95
3514,622.09,,4,622.09
3515,622.21,,4,622.21
3516,622.38,,4,622.38
3517,622.52,,4,622.52
3518,622.63,,4,622.63
3519,622.74,,4,622.74
3520,622.86,,4,622.86
3521,623.0,,4,623.0
3522,623.18,,5,623.18
3523,623.37,,5,623.37
3524,623.55,,5,623.55
3525,623.69,,5,623.69
3526,623.83,,5,623.83
3527,623.95,,5,623.95
3528,624.07,,5,624.07
3529,624.24,,5,624.24
3530,624.39,,5,624.39
3531,624.55,,5,624.55
3532,624.71,,5,624.71
3533,624.89,,5,624.89
3534,625.04,,5,625.04
3535,625.18,,5,625.18
3536,625.29,,5,625.29
3537,625.43,,5,625.43
3538,625.54,,5,625.54
3539,625.71,,5,625.71
3540,625.87,,5,625.87
3541,626.05,,5,626.05
3542,626.23,,5,626.23
3543,626.39,,5,626.39
3544,626.51,,5,626.51
3545,626.65,,5,626.65
3546,626.76,,5,626.76
3547,626.87,,5,626.87
3548,626.99,,5,626.99
3549,627.17,,5,627.17
3550,627.35,,5,627.35
3551,627.52,,5,627.52
3552,627.74,,5,627.74
3553,627.96,,5,627.96
3554,628.13,,5,628.13
3555,628.29,,5,628.29
3556,628.47,,5,628.47
3557,628.59,,5,628.59
3558,628.73,,5,628.73
3559,628.85,,5,628.85
3560,628.99,,5,628.99
3561,629.12,,5,629.12
3562,629.23,,5,629.23
3563,629.35,,5,629.35
3564,629.49,,5,629.49
3565,629.64,,5,629.64
3566,629.78,,5,629.78
3567,629.95,,5,629.95
3568,630.13,,5,630.13
3569,630.3,,5,630.3
3570,630.45,,5,630.45
3571,630.61,,5,630.61
3572,630.77,,5,630.77
3573,630.92,,5,630.92
3574,631.08,,5,631.08
3575,631.19,,5,631.19
3576,631.33,,5,631.33
3577,631.48,,5,631.48
3578,631.66,,5,631.66
3579,631.83,,5,631.83
3580,632.01,,5,632.01
3581,632.17,,5,632.17
3582,632.3,,5,632.3
3583,632.43,,5,632.43
3584,632.59,,5,632.59
3585,632.79,,5,632.79
3586,632.9,,5,632.9
3587,633.07,,5,633.07
3588,633.18,,5,633.18
3589,633.32,,5,633.32
3590,633.44,,5,633.44
3591,633.58,,5,633.58
3592,633.69,,5,633.69
3593,633.85,,5,633.85
3594,633.98,,5,633.98
3595,634.12,,5,634.12
3596,634.28,,5,634.28
3597,634.42,,5,634.42
3598,634.57,,5,634.57
3599,634.78,,5,634.78
3600,634.92,,5,634.92
3601,635.04,,5,635.04
3602,635.19,,5,635.19
3603,635.32,,5,635.32
3604,635.44,,5,635.44
3605,635.58,,5,635.58
3606,635.69,,5,635.69
3607,635.87,,5,635.87
3608,636.0,,5,636.0
3609,636.14,,5,636.14
3610,636.31,,5,636.31
3611,636.49,,5,636.49
3612,636.67,,5,636.67
3613,636.81,,5,636.81
3614,636.95,,5,636.95
3615,637.07,,5,637.07
3616,637.25,,5,637.25
3617,637.43,,5,637.43
3618,637.63,,5,637.63
3619,637.77,,5,637.77
3620,637.89,,5,637.89
3621,638.04,,5,638.04
3622,638.2,,5,638.2
3623,638.3,,5,638.3
3624,638.43,,5,638.43
3625,638.55,,5,638.55
3626,638.75,,5,638.75
3627,638.94,,5,638.94
3628,639.1,,5,639.1
3629,639.24,,5,639.24
3630,639.39,,5,639.39
3631,639.54,,5,639.54
3632,639.71,,5,639.71
3633,639.9,,5,639.9
3634,640.07,,5,640.07
3635,640.2,,5,640.2
3636,640.38,,5,640.38
3637,640.53,,5,640.53
3638,640.68,,5,640.68
3639,640.84,,5,640.84
3640,640.99,,5,640.99
3641,641.1,,5,641.1
3642,641.23,,5,641.23
3643,641.42,,5,641.42
3644,641.58,,5,641.58
3645,641.76,,5,641.76
3646,641.97,,5,641.97
3647,642.14,,5,642.14
3648,642.28,,5,642.28
3649,642.45,,5,642.45
3650,642.62,,5,642.62
3651,642.8,,5,642.8
3652,642.95,,5,642.95
3653,643.07,,5,643.07
3654,643.22,,5,643.22
3655,643.34,,5,643.34
3656,643.48,,5,643.48
3657,643.62,,5,643.62
3658,643.77,,5,643.77
3659,643.91,,5,643.91
3660,644.05,,5,644.05
3661,644.2,,5,644.2
3662,644.36,,5,644.36
3663,644.53,,5,644.53
3664,644.66,,5,644.66
3665,644.77,,5,644.77
3666,644.92,,5,644.92
3667,645.09,,5,645.09
3668,645.25,,5,645.25
3669,645.41,,5,645.41
3670,645.58,,5,645.58
3671,645.74,,5,645.74
3672,645.87,,5,645.87
3673,646.02,,5,646.02
3674,646.16,,5,646.16
3675,646.35,,5,646.35
3676,646.51,,5,646.51
3677,646.61,,5,646.61
3678,646.78,,5,646.78
3679,646.9,,5,646.9
3680,647.02,,5,647.02
3681,647.15,,5,647.15
3682,647.26,,5,647.26
3683,647.4,,5,647.4
3684,647.56,,5,647.56
3685,647.71,,5,647.71
3686,647.86,,5,647.86
3687,647.99,,5,647.99
3688,648.1,,5,648.1
3689,648.26,,5,648.26
3690,648.38,,5,648.38
3691,648.5,,5,648.5
3692,648.65,,5,648.65
3693,648.83,,5,648.83
3694,649.0,,5,649.0
3695,649.19,,5,649.19
3696,649.41,,5,649.41
3697,649.54,,5,649.54
3698,649.7,,5,649.7
3699,649.84,,5,649.84
3700,650.0,,5,650.0
3701,650.12,,5,650.12
3702,650.31,,5,650.31
3703,650.45,,5,650.45
3704,650.58,,5,650.58
3705,650.77,,5,650.77
3706,650.92,,5,650.92
3707,651.06,,5,651.06
3708,651.21,,5,651.21
3709,651.39,,5,651.39
3710,651.57,,5,651.57
3711,651.73,,5,651.73
3712,651.86,,5,651.86
3713,652.01,,5,652.01
3714,652.22,,5,652.22
3715,652.34,,5,652.34
3716,652.51,,5,652.51
3717,652.63,,5,652.63
3718,652.79,,5,652.79
3719,652.91,,5,652.91
3720,653.05,,5,653.05
3721,653.2,,5,653.2
3722,653.36,,5,653.36
3723,653.53,,5,653.53
3724,653.67,,5,653.67
3725,653.85,,5,653.85
3726,654.04,,5,654.04
3727,654.19,,5,654.19
3728,654.36,,5,654.36
3729,654.51,,5,654.51
3730,654.62,,5,654.62
3731,654.75,,5,654.75
3732,654.89,,5,654.89
3733,655.03,,5,655.03
3734,655.21,,5,655.21
3735,655.39,,5,655.39
3736,655.52,,5,655.52
3737,655.68,,5,655.68
3738,655.81,,5,655.81
3739,655.96,,5,655.96
3740,656.12,,5,656.12
3741,656.24,,5,656.24
3742,656.41,,5,656.41
3743,656.57,,5,656.57
3744,656.73,,5,656.73
3745,656.84,,5,656.84
3746,657.03,,5,657.03
3747,657.2,,5,657.2
3748,657.35,,5,657.35
3749,657.51,,5,657.51
3750,657.64,,5,657.64
3751,657.78,,5,657.78
3752,657.89,,5,657.89
3753,658.04,,5,658.04
3754,658.18,,5,658.18
3755,658.31,,5,658.31
3756,658.48,,5,658.48
3757,658.64,,5,658.64
3758,658.77,,5,658.77
3759,658.93,,5,658.93
3760,659.08,,5,659.08
3761,659.26,,5,659.26
3762,659.45,,5,659.45
3763,659.6,,5,659.6
3764,659.73,,5,659.73
3765,659.87,,5,659.87
3766,660.01,,5,660.01
3767,660.15,,5,660.15
3768,660.29,,5,660.29
3769,660.41,,5,660.41
3770,660.55,,5,660.55
3771,660.69,,5,660.69
3772,660.81,,5,660.81
3773,660.97,,5,660.97
3774,661.1,,5,661.1
3775,661.25,,5,661.25
3776,661.41,,5,661.41
3777,661.56,,5,661.56
3778,661.73,,5,661.73
3779,661.92,,5,661.92
3780,662.09,,5,662.09
3781,662.27,,5,662.27
3782,662.38,,5,662.38
3783,662.52,,5,662.52
3784,662.68,,5,662.68
3785,662.82,,5,662.82
3786,662.96,,5,662.96
3787,663.12,,5,663.12
3788,663.25,,5,663.25
3789,663.36,,5,663.36
3790,663.45,,5,663.45
3791,663.55,,5,663.55
3792,663.71,,5,663.71
3793,663.86,,5,663.86
3794,664.02,,5,664.02
3795,664.2,,5,664.2
3796,664.38,,5,664.38
3797,664.52,,5,664.52
3798,664.66,,5,664.66
3799,664.8,,5,664.8
3800,664.95,,5,664.95
3801,665.09,,5,665.09
3802,665.21,,5,665.21
3803,665.33,,5,665.33
3804,665.48,,5,665.48
3805,665.63,,5,665.63
3806,665.78,,5,665.78
3807,665.94,,5,665.94
3808,666.09,,5,666.09
3809,666.25,,5,666.25
3810,666.4,,5,666.4
3811,666.54,,5,666.54
3812,666.72,,5,666.72
3813,666.89,,5,666.89
3814,666.99,,5,666.99
3815,667.12,,5,667.12
3816,667.3,,5,667.3
3817,667.47,,5,667.47
3818,667.64,,5,667.64
3819,667.82,,5,667.82
3820,667.95,,5,667.95
3821,668.08,,5,668.08
3822,668.3,,5,668.3
3823,668.47,,5,668.47
3824,668.58,,5,668.58
3825,668.7,,5,668.7
3826,668.85,,5,668.85
3827,669.04,,5,669.04
3828,669.15,,5,669.15
3829,669.28,,5,669.28
3830,669.47,,5,669.47
3831,669.6,,5,669.6
3832,669.78,,5,669.78
3833,669.97,,5,669.97
3834,670.12,,5,670.12
3835,670.24,,5,670.24
3836,670.41,,5,670.41
3837,670.58,,5,670.58
3838,670.71,,5,670.71
3839,670.85,,5,670.85
3840,670.98,,5,670.98
3841,671.08,,5,671.08
3842,671.2,,5,671.2
3843,671.36,,5,671.36
3844,671.53,,5,671.53
3845,671.66,,5,671.66
3846,671.84,,5,671.84
3847,672.13,,5,672.13
3848,672.33,,5,672.33
3849,672.45,,5,672.45
3850,672.63,,5,672.63
3851,672.78,,5,672.78
3852,673.0,,5,673.0
3853,673.17,,5,673.17
3854,673.29,,5,673.29
3855,673.44,,5,673.44
3856,673.59,,5,673.59
3857,673.72,,5,673.72
3858,673.87,,5,673.87
3859,674.09,,5,674.09
3860,674.26,,5,674.26
3861,674.39,,5,674.39
3862,674.52,,5,674.52
3863,674.68,,5,674.68
3864,674.78,,5,674.78
3865,674.93,,5,674.93
3866,675.02,,5,675.02
3867,675.2,,5,675.2
3868,675.36,,5,675.36
3869,675.52,,5,675.52
3870,675.68,,5,675.68
3871,675.82,,5,675.82
3872,675.92,,5,675.92
3873,676.04,,5,676.04
3874,676.18,,5,676.18
3875,676.36,,5,676.36
3876,676.55,,5,676.55
3877,676.75,,5,676.75
3878,676.85,,5,676.85
3879,676.99,,5,676.99
3880,677.07,,5,677.07
3881,677.18,,5,677.18
3882,677.31,,5,677.31
3883,677.51,,5,677.51
3884,677.64,,6,677.64
3885,677.78,,6,677.78
3886,677.94,,6,677.94
3887,678.17,,6,678.17
3888,678.32,,6,678.32
3889,678.45,,6,678.45
3890,678.61,,6,678.61
3891,678.75,,6,678.75
3892,678.91,,6,678.91
3893,679.04,,6,679.04
3894,679.14,,6,679.14
3895,679.25,,6,679.25
3896,679.34,,6,679.34
3897,679.55,,6,679.55
3898,679.76,,6,679.76
3899,679.88,,6,679.88
3900,680.06,,6,680.06
3901,680.18,,6,680.18
3902,680.3,,6,680.3
3903,680.46,,6,680.46
3904,680.65,,6,680.65
3905,680.86,,6,680.86
3906,681.0,,6,681.0
3907,681.13,,6,681.13
3908,681.28,,6,681.28
3909,681.38,,6,681.38
3910,681.47,,6,681.47
3911,681.58,,6,681.58
3912,681.69,,6,681.69
3913,681.83,,6,681.83
3914,681.97,,6,681.97
3915,682.11,,6,682.11
3916,682.22,,6,682.22
3917,682.39,,6,682.39
3918,682.56,,6,682.56
3919,682.68,,6,682.68
3920,682.84,,6,682.84
3921,682.98,,6,682.98
3922,683.15,,6,683.15
3923,683.28,,6,683.28
3924,683.39,,6,683.39
3925,683.5,,6,683.5
3926,683.62,,6,683.62
3927,683.72,,6,683.72
3928,683.8,,6,683.8
3929,683.93,,6,683.93
3930,684.09,,6,684.09
3931,684.26,,6,684.26
3932,684.43,,6,684.43
3933,684.55,,6,684.55
3934,684.67,,6,684.67
3935,684.86,,6,684.86
3936,684.98,,6,684.98
3937,685.13,,6,685.13
3938,685.37,,6,685.37
3939,685.48,,6,685.48
3940,685.65,,6,685.65
3941,685.76,,6,685.76
3942,685.85,,6,685.85
3943,686.0,,6,686.0
3944,686.17,,6,686.17
3945,686.32,,6,686.32
3946,686.46,,6,686.46
3947,686.58,,6,686.58
3948,686.7,,6,686.7
3949,686.83,,6,686.83
3950,686.92,,6,686.92
3951,687.08,,6,687.08
3952,687.21,,6,687.21
3953,687.36,,6,687.36
3954,687.53,,6,687.53
3955,687.73,,6,687.73
3956,687.87,,6,687.87
3957,688.05,,6,688.05
3958,688.17,,6,688.17
3959,688.32,,6,688.32
3960,688.47,,6,688.47
3961,688.65,,6,688.65
3962,688.77,,6,688.77
3963,688.86,,6,688.86
3964,689.12,,6,689.12
3965,689.31,,6,689.31
3966,689.47,,6,689.47
3967,689.69,,6,689.69
3968,689.81,,6,689.81
