#IGOR SMB Depth (m)	SMB_ie	error
depth	deporate	rel_unc	comment
2.942314775	0.026775279	0.2
3.0107407	0.026775279	0.2
3.079166625	0.026775279	0.2
3.14759255	0.026775279	0.2
3.216018475	0.026775279	0.2
3.2844444	0.026775279	0.2
3.352870325	0.026775279	0.2
3.42129625	0.026775279	0.2
3.489722175	0.026775279	0.2
3.5581481	0.026775279	0.2
3.626574025	0.026775279	0.2
3.69499995	0.026775279	0.2
3.763425875	0.026775279	0.2
3.8318518	0.026775279	0.2
3.900277725	0.026775279	0.2
3.96870365	0.026775279	0.2
4.037129575	0.026775279	0.2
4.1055555	0.026775279	0.2
4.173981425	0.026775279	0.2
4.24240735	0.026775279	0.2
4.310833275	0.026775279	0.2
4.3792592	0.026775279	0.2
4.447685125	0.026775279	0.2
4.51611105	0.026775279	0.2
4.584536975	0.026775279	0.2
4.6529629	0.026775279	0.2
4.721388825	0.026775279	0.2
4.78981475	0.026775279	0.2
4.858240675	0.026775279	0.2
4.9266666	0.026775279	0.2
4.995092525	0.026744348	0.2
5.06351845	0.026714341	0.2
5.131944375	0.026685216	0.2
5.2003703	0.026656935	0.2
5.268796225	0.026629463	0.2
5.33722215	0.026602764	0.2
5.405648075	0.026574011	0.2
5.474074	0.026545259	0.2
5.542499925	0.026516506	0.2
5.61092585	0.026487754	0.2
5.679351775	0.026459001	0.2
5.7477777	0.026430249	0.2
5.816203625	0.026401496	0.2
5.88462955	0.026372744	0.2
5.953055475	0.026343991	0.2
6.0214814	0.026315238	0.2
6.089907325	0.026286486	0.2
6.15833325	0.026257733	0.2
6.226759175	0.026228981	0.2
6.2951851	0.026200228	0.2
6.363611025	0.026171476	0.2
6.43203695	0.026165493	0.2
6.500462875	0.02615951	0.2
6.5688888	0.026153528	0.2
6.637314725	0.026147545	0.2
6.70574065	0.026141563	0.2
6.774166575	0.02613558	0.2
6.8425925	0.026129597	0.2
6.911018425	0.026123615	0.2
6.97944435	0.026117632	0.2
7.047870275	0.026111649	0.2
7.1162962	0.026105667	0.2
7.184722125	0.026099684	0.2
7.25314805	0.026093702	0.2
7.321573975	0.026087719	0.2
7.3899999	0.026081736	0.2
7.44523801	0.026075754	0.2
7.500476119	0.026069771	0.2
7.555714229	0.026063788	0.2
7.610952338	0.026057806	0.2
7.666190448	0.026051823	0.2
7.721428557	0.026045841	0.2
7.776666667	0.026039858	0.2
7.831904776	0.026033875	0.2
7.887142886	0.026027893	0.2
7.942380995	0.02602191	0.2
7.997619105	0.026015927	0.2
8.052857214	0.026009945	0.2
8.108095324	0.026003962	0.2
8.163333433	0.026016276	0.2
8.218571543	0.02602859	0.2
8.273809652	0.026040903	0.2
8.329047762	0.026053217	0.2
8.384285871	0.026065531	0.2
8.439523981	0.026077845	0.2
8.49476209	0.026090158	0.2
8.5500002	0.026102472	0.2
8.60714305	0.026114786	0.2
8.6642859	0.0261271	0.2
8.72142875	0.026139413	0.2
8.7785716	0.026151727	0.2
8.83571445	0.026164041	0.2
8.8928573	0.026176355	0.2
8.95000015	0.026188669	0.2
9.007143	0.026200982	0.2
9.06428585	0.026213296	0.2
9.1214287	0.02622561	0.2
9.17857155	0.026237924	0.2
9.2357144	0.026275375	0.2
9.29285725	0.026312827	0.2
9.3500001	0.026350279	0.2
9.40714295	0.026416483	0.2
9.4642858	0.026482688	0.2
9.52142865	0.026548892	0.2
9.5785715	0.026615097	0.2
9.63571435	0.026650131	0.2
9.6928572	0.026685166	0.2
9.75000005	0.0267202	0.2
9.8071429	0.026755235	0.2
9.86428575	0.026790269	0.2
9.9214286	0.026825304	0.2
9.97857145	0.026860338	0.2
10.0357143	0.026895372	0.2
10.09285715	0.026930407	0.2
10.15	0.026965441	0.2
10.20842105	0.027000476	0.2
10.26684211	0.02703551	0.2
10.32526316	0.027070545	0.2
10.38368421	0.027105579	0.2
10.44210526	0.027140614	0.2
10.50052632	0.027175648	0.2
10.55894737	0.027210683	0.2
10.61736842	0.027222947	0.2
10.67578947	0.027235212	0.2
10.73421053	0.027247477	0.2
10.79263158	0.027259741	0.2
10.85105263	0.027272006	0.2
10.90947368	0.02728427	0.2
10.96789474	0.027296535	0.2
11.02631579	0.027308799	0.2
11.08473684	0.027321064	0.2
11.14315789	0.027333328	0.2
11.20157895	0.027345593	0.2
11.26	0.027357858	0.2
11.32142857	0.027370122	0.2
11.38285714	0.027382387	0.2
11.44428571	0.027394651	0.2
