#This data file has 4 columns:			
#column 1:	Depth in m below the surface		
#column 2:	"Ice age following the WD2014 chronology, in years before 1950 C.E."		
#column 3:	"Accumulation reconstructed using an inverse firn densification model, in m ice equivalent per year"		
#column 4:	2 sigma accumulation uncertainty from monte-carlo simulation		
			
#Depth	Ice age	Accumulation	2 sigma uncertainty
#(m)	(years bp)	(m ice a-1)	(m ice a-1)
472.232	1895	0.2533	0.020
474.595	1905	0.2621	0.020
476.86	1915	0.2582	0.020
479.398	1925	0.256	0.020
481.608	1935	0.2483	0.020
483.775	1945	0.2437	0.020
485.974	1955	0.242	0.020
488.118	1965	0.2531	0.020
490.35	1975	0.2532	0.020
492.768	1985	0.2577	0.020
495.055	1995	0.2634	0.020
497.374	2005	0.2646	0.020
499.803	2015	0.2639	0.020
502.21	2025	0.2628	0.020
504.442	2035	0.2606	0.020
506.838	2045	0.256	0.020
509.125	2055	0.2528	0.020
511.313	2065	0.2481	0.020
513.479	2075	0.2485	0.020
515.788	2085	0.258	0.020
518.009	2095	0.2632	0.020
520.492	2105	0.2591	0.020
522.768	2115	0.2537	0.020
524.891	2125	0.2482	0.020
527.232	2135	0.2464	0.020
529.289	2145	0.252	0.020
531.576	2155	0.2597	0.020
533.939	2165	0.2628	0.020
536.28	2175	0.2697	0.020
538.676	2185	0.2813	0.020
541.039	2195	0.2797	0.020
543.764	2205	0.2818	0.020
546.094	2215	0.2779	0.020
548.556	2225	0.2638	0.020
550.93	2235	0.2692	0.020
553.129	2245	0.2703	0.020
555.602	2255	0.2745	0.020
558.096	2265	0.2821	0.020
560.7	2275	0.2788	0.020
563.053	2285	0.2699	0.020
565.438	2295	0.2583	0.020
567.582	2305	0.254	0.020
569.792	2315	0.2615	0.020
572.155	2325	0.27	0.020
574.537	2335	0.2766	0.020
576.928	2345	0.2712	0.020
579.395	2355	0.2663	0.020
581.659	2365	0.2612	0.020
583.897	2375	0.258	0.020
586.059	2385	0.2643	0.020
588.511	2395	0.2664	0.020
590.878	2405	0.2712	0.020
593.333	2415	0.2671	0.020
595.524	2425	0.2698	0.020
597.985	2435	0.2601	0.020
600.236	2445	0.2569	0.020
602.431	2455	0.2474	0.020
604.5	2465	0.2574	0.020
606.861	2475	0.2639	0.020
609.322	2485	0.2695	0.020
611.513	2495	0.2685	0.020
613.912	2505	0.2599	0.020
616.089	2515	0.2598	0.020
618.358	2525	0.2581	0.020
620.555	2535	0.2637	0.020
622.981	2545	0.2685	0.020
625.313	2555	0.2678	0.020
627.609	2565	0.2595	0.020
629.879	2575	0.265	0.020
632.09	2585	0.2685	0.020
634.723	2595	0.2741	0.020
636.998	2605	0.272	0.020
639.183	2615	0.2647	0.020
641.454	2625	0.2599	0.020
643.862	2635	0.2613	0.020
645.977	2645	0.2556	0.020
648.158	2655	0.2593	0.020
650.459	2665	0.2602	0.020
652.795	2675	0.2613	0.020
654.991	2685	0.2571	0.020
657.174	2695	0.2646	0.020
659.442	2705	0.2644	0.020
661.806	2715	0.2623	0.020
663.91	2725	0.2519	0.020
666.145	2735	0.2477	0.020
668.154	2745	0.247	0.020
670.309	2755	0.2503	0.020
672.496	2765	0.2505	0.020
674.637	2775	0.2505	0.020
676.762	2785	0.25	0.020
678.97	2795	0.2513	0.020
681.063	2805	0.2488	0.020
683.24	2815	0.2483	0.020
685.279	2825	0.2546	0.020
687.634	2835	0.2498	0.020
689.756	2845	0.251	0.020
691.659	2855	0.2492	0.020
693.813	2865	0.2501	0.020
696.014	2875	0.2521	0.020
698.265	2885	0.2442	0.020
700.191	2895	0.2475	0.020
702.191	2905	0.2434	0.021
704.336	2915	0.2466	0.021
706.554	2925	0.2497	0.021
708.612	2935	0.2518	0.021
710.667	2945	0.2493	0.021
712.838	2955	0.2516	0.021
715.013	2965	0.2553	0.021
717.102	2975	0.2569	0.021
719.405	2985	0.2583	0.021
721.427	2995	0.2506	0.021
723.598	3005	0.2508	0.021
725.704	3015	0.2454	0.021
727.793	3025	0.2473	0.021
729.869	3035	0.247	0.021
731.873	3045	0.2461	0.022
733.965	3055	0.2453	0.022
735.987	3065	0.2469	0.022
738.171	3075	0.2543	0.022
740.309	3085	0.2521	0.022
742.469	3095	0.2443	0.022
744.41	3105	0.2437	0.022
746.35	3115	0.2434	0.022
748.498	3125	0.2581	0.022
750.751	3135	0.2625	0.022
753.047	3145	0.2598	0.023
755.185	3155	0.2493	0.023
757.224	3165	0.2444	0.023
759.187	3175	0.2513	0.023
761.296	3185	0.2525	0.023
763.544	3195	0.257	0.023
765.617	3205	0.2535	0.023
767.636	3215	0.2532	0.024
769.806	3225	0.2542	0.024
771.999	3235	0.255	0.024
774.053	3245	0.2574	0.024
776.214	3255	0.2577	0.024
778.429	3265	0.2654	0.024
780.608	3275	0.2659	0.024
782.826	3285	0.2677	0.024
785.067	3295	0.2698	0.024
787.306	3305	0.2713	0.024
789.527	3315	0.2654	0.024
791.765	3325	0.2524	0.024
793.777	3335	0.2474	0.025
795.796	3345	0.2486	0.025
797.788	3355	0.2491	0.025
799.961	3365	0.2539	0.025
802.038	3375	0.2528	0.025
804.118	3385	0.2541	0.025
806.127	3395	0.2561	0.025
808.341	3405	0.2592	0.025
810.49	3415	0.2592	0.025
812.696	3425	0.2588	0.025
814.697	3435	0.2557	0.025
816.856	3445	0.2521	0.025
818.872	3455	0.2605	0.025
821.038	3465	0.2626	0.026
823.25	3475	0.2593	0.026
825.372	3485	0.258	0.026
827.447	3495	0.2608	0.026
829.609	3505	0.2565	0.026
831.729	3515	0.2513	0.026
833.687	3525	0.2569	0.026
835.795	3535	0.261	0.026
838.036	3545	0.2735	0.027
840.261	3555	0.2702	0.027
842.544	3565	0.2731	0.027
844.687	3575	0.2678	0.027
846.916	3585	0.2639	0.027
849.112	3595	0.2657	0.027
851.054	3605	0.2626	0.027
853.203	3615	0.2567	0.027
855.383	3625	0.2645	0.027
857.473	3635	0.266	0.027
859.676	3645	0.2649	0.027
861.917	3655	0.2631	0.027
863.939	3665	0.2668	0.027
866.086	3675	0.2665	0.027
868.267	3685	0.2649	0.027
870.376	3695	0.2634	0.027
872.498	3705	0.2549	0.027
874.567	3715	0.2564	0.027
876.458	3725	0.2554	0.028
878.716	3735	0.2511	0.028
880.741	3745	0.2574	0.028
882.681	3755	0.252	0.028
884.681	3765	0.2515	0.028
886.823	3775	0.2528	0.028
888.885	3785	0.2595	0.028
890.919	3795	0.2701	0.028
893.228	3805	0.2734	0.028
895.428	3815	0.2729	0.029
897.527	3825	0.2706	0.029
899.663	3835	0.2678	0.029
901.913	3845	0.2685	0.029
904.01	3855	0.2614	0.029
905.95	3865	0.2594	0.029
908.048	3875	0.261	0.029
910.151	3885	0.2679	0.029
912.402	3895	0.2645	0.029
914.506	3905	0.2681	0.029
916.544	3915	0.2624	0.029
918.69	3925	0.2536	0.029
920.748	3935	0.2486	0.029
922.517	3945	0.2462	0.029
924.549	3955	0.2508	0.029
926.592	3965	0.2565	0.029
928.573	3975	0.262	0.029
930.781	3985	0.262	0.029
932.787	3995	0.266	0.029
934.884	4005	0.2567	0.029
936.895	4015	0.2556	0.029
938.882	4025	0.2571	0.029
940.897	4035	0.26	0.029
943.059	4045	0.2592	0.029
945.041	4055	0.2539	0.029
