depth	LID
1407	50.6
1408	50.63
1409	50.66
1410	50.69
1411	50.71
1412	50.73
1413	50.74
1414	50.76
1415	50.77
1416	50.78
1417	50.78
1418	50.79
1419	50.79
1420	50.79
1421	50.79
1422	50.79
1423	50.79
1424	50.78
1425	50.78
1426	50.79
1427	50.79
1428	50.79
1429	50.8
1430	50.81
1431	50.83
1432	50.85
1433	50.87
1434	50.89
1435	50.92
1436	50.95
1437	50.98
1438	51.02
1439	51.06
1440	51.1
1441	51.14
1442	51.18
1443	51.23
1444	51.27
1445	51.31
1446	51.35
1447	51.4
1448	51.43
1449	51.47
1450	51.5
1451	51.54
1452	51.56
1453	51.59
1454	51.61
1455	51.63
1456	51.65
1457	51.66
1458	51.67
1459	51.68
1460	51.69
1461	51.7
1462	51.71
1463	51.71
1464	51.72
1465	51.73
1466	51.73
1467	51.75
1468	51.76
1469	51.77
1470	51.79
1471	51.81
1472	51.83
1473	51.85
1474	51.87
1475	51.9
1476	51.93
1477	51.96
1478	52.0
1479	52.04
1480	52.08
1481	52.12
1482	52.18
1483	52.23
1484	52.28
1485	52.35
1486	52.41
1487	52.48
1488	52.56
1489	52.64
1490	52.73
1491	52.83
1492	52.92
1493	52.97
1494	53.02
1495	53.07
1496	53.11
1497	53.16
1498	53.2
1499	53.24
1500	53.28
1501	53.31
1502	53.34
1503	53.36
1504	53.37
1505	53.38
1506	53.37
1507	53.36
1508	53.35
1509	53.32
1510	53.28
1511	53.23
1512	53.16
1513	53.09
1514	53.01
1515	52.93
1516	52.84
1517	52.75
1518	52.65
1519	52.56
1520	52.48
1521	52.39
1522	52.3
1523	52.21
1524	52.14
1525	52.06
1526	51.99
1527	51.92
1528	51.85
1529	51.78
1530	51.72
1531	51.66
1532	51.61
1533	51.56
1534	51.51
1535	51.47
1536	51.43
1537	51.4
1538	51.37
1539	51.34
1540	51.34
1541	51.35
1542	51.36
1543	51.37
1544	51.38
1545	51.41
1546	51.43
1547	51.46
1548	51.48
1549	51.51
1550	51.54
1551	51.57
1552	51.6
1553	51.63
1554	51.65
1555	51.68
1556	51.71
1557	51.72
1558	51.74
1559	51.76
1560	51.78
1561	51.8
1562	51.82
1563	51.85
1564	51.87
1565	51.89
1566	51.92
1567	51.94
1568	51.96
1569	51.98
1570	52.0
1571	52.02
1572	52.03
1573	52.05
1574	52.06
1575	52.06
1576	52.06
1577	52.05
1578	52.04
1579	52.04
1580	52.02
1581	52.0
1582	51.98
1583	51.97
1584	51.95
1585	51.94
1586	51.93
1587	51.92
1588	51.93
1589	51.94
1590	51.97
1591	52.0
1592	52.05
1593	52.11
1594	52.2
1595	52.28
1596	52.38
1597	52.5
1598	52.63
1599	52.78
1600	52.96
1601	53.14
1602	53.33
1603	53.54
1604	53.75
1605	53.97
1606	54.19
1607	54.4
1608	54.63
1609	54.84
1610	55.06
1611	55.26
1612	55.46
1613	55.65
1614	55.82
1615	55.99
1616	56.14
1617	56.27
1618	56.39
1619	56.48
1620	56.57
1621	56.64
1622	56.7
1623	56.74
1624	56.78
1625	56.84
1626	56.92
1627	56.98
1628	56.9
1629	56.83
1630	56.75
1631	56.67
1632	56.59
1633	56.51
1634	56.43
1635	56.36
1636	56.28
1637	56.21
1638	56.14
1639	56.07
1640	56.01
1641	55.95
1642	55.89
1643	55.84
1644	55.8
1645	55.76
1646	55.73
1647	55.7
1648	55.68
1649	55.66
1650	55.64
1651	55.63
1652	55.63
1653	55.62
1654	55.63
1655	55.64
1656	55.66
1657	55.68
1658	55.7
1659	55.73
1660	55.77
1661	55.81
1662	55.86
1663	55.91
1664	55.92
1665	55.92
1666	55.93
1667	55.91
1668	55.89
1669	55.81
1670	55.74
1671	55.56
1672	55.39
1673	55.29
1674	55.21
1675	55.12
1676	55.04
1677	54.96
1678	54.88
1679	54.79
1680	54.71
1681	54.62
1682	54.54
1683	54.46
1684	54.38
1685	54.29
1686	54.21
1687	54.13
1688	54.04
1689	53.96
1690	53.87
1691	53.79
1692	53.64
1693	53.47
1694	53.32
1695	53.18
1696	53.1
1697	53.02
1698	52.93
1699	52.85
1700	52.77
1701	52.69
1702	52.6
1703	52.52
1704	52.44
1705	52.36
1706	52.27
1707	52.19
1708	52.11
1709	52.03
1710	51.95
1711	51.87
1712	51.78
1713	51.7
1714	51.62
1715	51.53
1716	51.41
1717	51.37
1718	51.36
1719	51.38
1720	51.4
1721	51.43
1722	51.46
1723	51.49
1724	51.52
1725	51.56
1726	51.59
1727	51.63
1728	51.67
1729	51.71
1730	51.75
1731	51.79
1732	51.82
1733	51.85
1734	51.88
1735	51.91
1736	51.93
1737	51.94
1738	51.95
1739	51.96
1740	51.96
1741	51.96
1742	51.96
1743	51.95
1744	51.94
1745	51.92
1746	51.89
1747	51.85
1748	51.82
1749	51.78
1750	51.74
1751	51.7
1752	51.67
1753	51.63
1754	51.59
1755	51.56
1756	51.54
1757	51.54
1758	51.54
1759	51.53
1760	51.47
1761	51.42
1762	51.36
1763	51.3
1764	51.25
1765	51.2
1766	51.14
1767	51.09
1768	51.04
1769	51.0
1770	50.96
1771	50.92
1772	50.88
1773	50.85
1774	50.82
1775	50.81
1776	50.82
1777	50.84
1778	50.85
1779	50.82
1780	50.8
1781	50.78
1782	50.76
1783	50.74
1784	50.73
1785	50.72
1786	50.7
1787	50.69
1788	50.68
1789	50.66
1790	50.65
1791	50.65
1792	50.65
1793	50.65
1794	50.65
1795	50.64
1796	50.63
1797	50.65
1798	50.67
1799	50.69
1800	50.71
1801	50.73
1802	50.74
1803	50.75
1804	50.75
1805	50.75
1806	50.75
1807	50.75
1808	50.74
1809	50.72
1810	50.68
1811	50.55
1812	50.43
1813	50.32
1814	50.22
1815	50.11
1816	50.0
1817	49.9
1818	49.87
1819	50.03
1820	50.17
1821	50.33
1822	50.5
1823	50.68
1824	50.87
1825	51.04
1826	51.22
1827	51.42
1828	51.62
1829	51.83
1830	52.08
1831	52.32
1832	52.55
1833	52.79
1834	52.98
1835	53.14
1836	53.29
1837	53.4
1838	53.48
1839	53.56
1840	53.65
1841	53.73
1842	53.83
1843	53.91
1844	54.01
1845	54.11
1846	54.21
1847	54.3
1848	54.39
1849	54.48
1850	54.55
1851	54.63
1852	54.7
1853	54.77
1854	54.83
1855	54.89
1856	54.95
1857	55.0
1858	55.07
1859	55.12
1860	55.19
1861	55.23
1862	55.26
1863	55.29
1864	55.33
1865	55.39
1866	55.44
1867	55.51
1868	55.58
1869	55.68
1870	55.81
1871	55.95
1872	56.07
1873	56.21
1874	56.33
1875	56.49
1876	56.67
1877	56.83
1878	56.97
1879	57.28
1880	57.64
1881	57.88
1882	58.08
1883	58.25
1884	58.4
1885	58.58
1886	58.75
1887	58.94
1888	59.13
1889	59.34
1890	59.57
1891	59.88
1892	59.89
1893	59.94
1894	59.99
1895	60.07
1896	60.14
1897	60.22
1898	60.25
1899	60.22
1900	60.15
1901	60.07
1902	59.82
1903	59.54
1904	59.25
1905	58.93
1906	58.66
1907	58.44
1908	58.2
1909	58.04
1910	57.96
1911	57.9
1912	57.84
1913	57.78
1914	57.72
1915	57.67
1916	57.63
1917	57.6
1918	57.58
1919	57.56
1920	57.52
1921	57.49
1922	57.48
1923	57.48
1924	57.47
1925	57.46
1926	57.45
1927	57.42
1928	57.38
1929	57.32
1930	57.24
1931	57.15
1932	57.04
1933	56.94
1934	56.82
1935	56.7
1936	56.57
1937	56.44
1938	56.32
1939	56.21
1940	56.12
1941	56.06
1942	55.97
1943	55.86
1944	55.77
1945	55.7
1946	55.65
1947	55.61
1948	55.57
1949	55.53
1950	55.48
1951	55.44
1952	55.35
1953	55.28
1954	55.2
1955	55.07
1956	54.92
1957	54.77
1958	54.78
1959	54.78
1960	54.76
1961	54.72
1962	54.66
1963	54.58
1964	54.53
1965	54.48
1966	54.44
1967	54.39
1968	54.35
1969	54.32
1970	54.3
1971	54.31
1972	54.33
1973	54.36
1974	54.43
1975	54.52
1976	54.63
1977	54.73
1978	54.82
1979	54.9
1980	54.96
1981	54.97
1982	54.89
1983	54.79
