#top depth (m)	bottom depth (m)	duration (yr)	sigma duration (yr)
1717.542	1719.632	100	4.0
1719.632	1721.801	100	4.0
1721.801	1724.071	100	4.0
1724.071	1726.2	100	5.0
1726.2	1728.377	100	3.0
1728.377	1730.703	100	4.0
1730.703	1733.082	100	5.0
1733.082	1735.163	100	5.0
1735.163	1737.315	100	3.0
1737.315	1739.578	100	5.0
1739.578	1741.689	100	4.0
1741.689	1743.848	100	3.0
1743.848	1745.858	100	7.0
1745.858	1747.821	100	5.0
1747.821	1749.679	100	7.0
1749.679	1751.639	100	5.0
1751.639	1753.589	100	3.0
1753.589	1755.509	100	5.0
1755.509	1757.412	100	4.0
1757.412	1759.318	100	4.0
1759.318	1761.182	100	5.0
1761.182	1763.034	100	5.0
1763.034	1765.013	100	2.0
1765.013	1766.866	100	2.0
1766.866	1768.625	100	5.0
1768.625	1770.506	100	6.0
1770.506	1772.335	100	5.0
1772.335	1774.247	100	3.0
1774.247	1776.323	100	5.0
1776.323	1778.255	100	7.0
1778.255	1780.216	100	2.0
1780.216	1782.25	100	4.0
1782.25	1784.163	100	6.0
1784.163	1786.414	100	8.0
1786.414	1788.472	100	3.0
1788.472	1790.405	100	3.0
1790.405	1792.806	100	5.0
1792.806	1794.999	100	5.0
1794.999	1796.847	100	9.0
1796.847	1798.511	100	3.0
1798.511	1800.082	100	9.0
1800.082	1801.705	100	5.0
1801.705	1803.261	100	7.0
1803.261	1804.768	100	5.0
1804.768	1806.303	100	5.0
1806.303	1807.846	100	5.0
1807.846	1809.498	100	7.0
1809.498	1811.17	100	5.0
1811.17	1812.796	100	5.0
1812.796	1814.289	100	6.0
1814.289	1815.778	100	4.0
1815.778	1817.241	100	5.0
1817.241	1818.893	100	3.0
1818.893	1820.567	100	8.0
1820.567	1822.191	100	5.0
1822.191	1823.684	100	5.0
1823.684	1825.124	100	5.0
1825.124	1826.695	100	7.0
1826.695	1828.181	100	7.0
1828.181	1829.648	100	6.0
1829.648	1831.076	100	7.0
1831.076	1832.6	100	4.0
1832.6	1834.053	100	4.0
1834.053	1835.588	100	7.0
1835.588	1837.27	100	5.0
1837.27	1839.152	100	4.0
1839.152	1841.028	100	3.0
1841.028	1842.769	100	4.0
1842.769	1844.586	100	3.0
1844.586	1846.136	100	6.0
1846.136	1847.771	100	5.0
1847.771	1849.472	100	7.0
1849.472	1851.224	100	5.0
1851.224	1852.945	100	5.0
1852.945	1854.688	100	3.0
1854.688	1856.284	100	5.0
1856.284	1858.026	100	3.0
1858.026	1859.707	100	6.0
1859.707	1861.389	100	6.0
1861.389	1864.172	100	5.0
1864.172	1867.26	100	3.0
1867.26	1870.008	100	7.0
1870.008	1871.603	100	9.0
1871.603	1873.259	100	8.0
1873.259	1874.803	100	9.0
1874.803	1876.286	100	7.0
1876.286	1877.875	100	10.0
1877.875	1879.521	100	3.0
1879.521	1881.231	100	3.0
1881.231	1883.269	100	4.0
1883.269	1886.126	100	2.0
1886.126	1889.391	100	5.0
1889.391	1892.056	100	4.0
1892.056	1893.705	100	5.0
1893.705	1895.176	100	7.0
1895.176	1896.59	100	6.0
1896.59	1898.001	100	3.0
1898.001	1899.434	100	6.0
1899.434	1900.731	100	7.0
1900.731	1902.155	100	8.0
1902.155	1903.499	100	9.0
1903.499	1904.947	100	8.0
1904.947	1906.384	100	7.0
1906.384	1907.895	100	7.0
1907.895	1909.32	100	6.0
1909.32	1910.736	100	5.0
1910.736	1912.163	100	6.0
1912.163	1913.529	100	7.0
1913.529	1914.913	100	4.0
1914.913	1916.556	100	6.0
1916.556	1918.379	100	10.0
1918.379	1920.333	100	4.0
1920.333	1922.035	100	10.0
1922.035	1923.566	100	5.0
1923.566	1925.241	100	8.0
1925.241	1926.749	100	5.0
1926.749	1928.344	100	9.0
1928.344	1929.865	100	7.0
1929.865	1931.347	100	7.0
1931.347	1932.931	100	9.0
1932.931	1934.596	100	7.0
1934.596	1936.228	100	5.0
1936.228	1937.772	100	6.0
1937.772	1939.465	100	4.0
1939.465	1941.538	100	7.0
1941.538	1943.967	100	7.0
1943.967	1946.632	100	4.0
1946.632	1949.416	100	7.0
1949.416	1952.243	100	3.0
1952.243	1953.7	100	6.0
1953.7	1955.209	100	8.0
1955.209	1956.626	100	11.0
1956.626	1958.113	100	9.0
1958.113	1959.561	100	4.0
1959.561	1960.913	100	3.0
1960.913	1962.318	100	8.0
1962.318	1963.716	100	7.0
1963.716	1965.831	100	3.0
1965.831	1968.606	100	3.0
1968.606	1971.408	100	6.0
1971.408	1974.289	100	9.0
1974.289	1976.086	100	11.0
1976.086	1977.767	100	7.0
1977.767	1979.32	100	7.0
1979.32	1980.81	100	7.0
1980.81	1982.331	100	6.0
1982.331	1983.87	100	9.0
1983.87	1985.433	100	6.0
1985.433	1986.958	100	6.0
1986.958	1988.4	100	6.0
1988.4	1990.05	100	7.0
1990.05	1992.449	100	7.0
1992.449	1994.851	100	4.0
1994.851	1997.212	100	4.0
1997.212	1999.777	100	3.0
1999.777	2002.426	100	6.0
2002.426	2005.191	100	4.0
2005.191	2007.921	100	7.0
2007.921	2010.471	100	4.0
2010.471	2012.038	100	3.0
2012.038	2013.529	100	7.0
2013.529	2014.986	100	6.0
2014.986	2016.429	100	9.0
2016.429	2017.883	100	7.0
2017.883	2019.35	100	7.0
2019.35	2020.806	100	7.0
2020.806	2022.345	100	6.0
2022.345	2023.931	100	9.0
2023.931	2025.805	100	8.0
2025.805	2027.559	100	7.0
2027.559	2029.638	100	3.0
2029.638	2031.8	100	4.0
2031.8	2034.079	100	5.0
2034.079	2036.229	100	2.0
2036.229	2038.364	100	3.0
2038.364	2040.953	100	3.0
2040.953	2043.639	100	4.0
2043.639	2046.301	100	2.0
2046.301	2049.167	100	2.0
2049.167	2052.126	100	2.0
2052.126	2055.044	100	2.0
2055.044	2057.906	100	1.0
2057.906	2060.891	100	4.0
