depth	data
2564.1	-8.3533
2565.2	-8.7851
2567.95	-8.952
2570.15	-7.835
2571.25	-7.6242
2572.9	-7.1875
2574.55	-7.8001
2576.2	-7.3583
2577.85	-8.2433
2580.6	-9.0277
2582.25	-8.4976
2583.35	-9.056
2585.55	-7.6848
2587.2	-9.4414
2588.3	-9.2518
2589.31	-5.4
2589.95	-9.7212
2590.5	-9.2149
2591.6	-8.3276
2592.15	-9.1918
2593.25	-10.1619
2594.9	-9.3876
2595.41	-9.3
2596.55	-9.7828
2597.1	-9.6582
2597.65	-11.3007
2599.3	-10.212
2599.3	-10.212
2599.85	-11.2062
2600.41	-11.1
2600.95	-11.4237
2601.5	-10.3599
2602.05	-9.5901
2602.6	-10.5533
2603.15	-9.836
2603.76	-10.1
2604.8	-11.1372
2605.35	-11.7272
2605.9	-10.0645
2606.45	-10.4626
2607.07	-10.1
2607.55	-10.2728
2608.1	-10.5682
2609.2	-9.2671
2609.75	-10.7122
2610.3	-9.5386
2610.91	-9
2611.4	-9.0748
2611.4	-9.0748
2611.95	-9.168
2613.05	-9.0111
2613.05	-9.9478
2614.11	-8.8
2614.15	-9.5528
2617.98	-7.3
2621.81	-8
2625.65	-6.4
2628.92	-7.8
2632.17	-10.4
2633.4	-11.2369
2635.42	-10.1
2638.67	-10.3
2642.02	-10.8
2645.86	-9.7
2649.19	-9.6
2653.01	-9.8
2656.84	-8.9
2660.75	-8.6
2664.07	-8.9
2667.9	-7.5
2667.95	-9.4
2670.69	-8
2673.46	-7.5
2678.99	-8.6
2681.74	-6.9
2687.31	-8.5
2690.06	-9.3
2692.88	-5.7
2694.04	-7.4
2695.7	-7.1
2698.51	-5.3
2698.54	-8.05
2702.99	-7.05
2707.42	-5.65
2711.8	-5
2716.2	-5
2720.54	-4.55
2724.85	-5.1
2729.13	-6.3
2733.35	-6.35
2737.62	-6.2
2740.65	-7.2651
2740.65	-7.2651
2741.75	-7.5344
2741.75	-7.5344
2741.88	-6.55
2742.3	-7.8069
2742.3	-7.8069
2742.85	-8.1102
2742.85	-8.1102
2743.95	-8.5288
2743.95	-8.5288
2744.5	-8.5998
2745.6	-8.1085
2746.15	-8.0015
2746.18	-7.7
2747.25	-7.8544
2747.8	-8.5916
2749.45	-8.425
2750	-8.9075
2750	-8.9075
2750.51	-7.9
2750.55	-8.0032
2751.1	-9.0411
2751.1	-9.0411
2752.2	-8.9622
2752.2	-8.9622
2752.75	-8.227
2753.3	-9.5834
2754.4	-9.4108
2754.84	-8.55
2754.95	-7.8556
2755.5	-8.6345
2756.05	-10.5434
2757.7	-8.9993
2758.25	-8.3932
2758.8	-9.0123
2759.09	-8.65
2761	-10.1927
2762.65	-11.4674
2763.45	-9.4
2763.75	-10.0478
2764.3	-9.3908
2765.4	-8.7433
2765.95	-10.2996
2766.5	-10.0213
2767.79	-9.95
2769.25	-10.4355
2770.35	-9.0486
2770.9	-8.7403
2771.45	-9.1171
2772	-9.3073
2772	-9.3073
2772.18	-8.7
2773.1	-8.8751
2773.65	-9.9321
2774.2	-8.5048
2774.75	-9.5381
2775.3	-8.2995
2775.85	-7.7633
2776.43	-8.9
2776.95	-8.7387
2777.5	-9.0843
2778.05	-10.4613
2778.6	-8.7772
2779.7	-8.2811
2780.25	-8.8332
2780.8	-7.9612
2781.18	-8.7
2781.35	-8.8326
2782.45	-8.8184
2784.29	-8.7
2785.2	-7.0358
2785.75	-8.1722
2786.11	-7.65
2786.3	-7.7943
2786.85	-7.5015
2787.4	-8.1317
2787.95	-8.6
2789.05	-7.1949
2789.09	-7.6
2789.6	-7.6579
2790.15	-8.9771
2790.15	-8.9771
2790.7	-6.2731
2790.99	-7.1
2791.25	-8.1982
2791.8	-7.4054
2792.35	-8.5878
2793.28	-6.3
2793.45	-8.5674
2794	-7.934
2794.55	-7.6047
2795.65	-8.3825
2795.74	-7.45
2796.2	-8.5261
2796.75	-8.8733
2797.85	-10.0799
2798.47	-7.6
2800.13	-8.85
2804.29	-9.6
2806.81	-7.2
2808.45	-9.45
2811.01	-9.8
2812.57	-6.6
2814.57	-4.7
2816.86	-8
2816.86	-6.15
2819.03	-9.7
2821.25	-4.2
2823.4	-7.2
2825.62	-7.2
2827.72	-4.5
2830.15	-2.6
2832.44	-2.7
2834.7	-3.4
2836.96	-4
2838.28	-6.9247
2839.79	-4.9
2841.84	-2.2
2843.67	-6
2845.34	-6.1
2845.43	-7.5118
2848.61	-6.2
2851.92	-7.2
2854.68	-6.4
2858	-3.7
2861.3	-3.7
2865.16	-2.9
2868.44	-3.7
2870.45	-7.2794
2871.7	-3.9
2873.75	-7.7134
2874.3	-8.1235
2874.4	-5.3
2874.85	-9.2479
2874.94	-5.9
2875.4	-6.0681
2875.4	-6.0681
2875.95	-8.0272
2876.5	-7.6167
2877.6	-7.2012
2878.08	-5.9
2878.15	-6.4185
2878.15	-6.4185
2878.7	-8.2854
2879.25	-7.7818
2880.35	-7.2762
2880.35	-7.2762
2881.23	-5
2881.45	-8.1209
2882	-7.6465
2883.1	-8.5594
2883.65	-7.7242
2884.75	-7.9792
2884.93	-5.2
2885.3	-8.7259
2885.85	-8.1561
2886.4	-6.9108
2887.5	-7.0482
2888.05	-6.388
2888.67	-7.4
2889.15	-7.7179
2890.25	-6.9106
2891.35	-6.3492
2892.45	-6.9559
2892.45	-8.2
2893	-6.7434
2893.55	-6.8494
2894.1	-6.8212
2894.65	-6.2832
2895.71	-5.7
2895.75	-7.6955
2896.3	-7.9797
2896.85	-7.7926
2897.4	-6.4923
2897.95	-7.492
2898.93	-8
2899.05	-6.5712
2899.6	-7.4073
2899.6	-7.4073
2900.15	-9.1324
2900.15	-9.1324
2900.7	-8.6076
2900.7	-8.6076
2901.25	-8.8278
2901.8	-7.833
2901.8	-7.833
2902.1	-10.5
2902.35	-8.3365
2902.64	-7.8
2903.45	-7.0528
2903.45	-7.0528
2904	-8.489
2904.55	-9.2659
2905.1	-10.02
2905.53	-10.3
2905.65	-9.5884
2905.65	-9.5884
2906.2	-10.6393
2906.75	-9.2679
2907.3	-11.1149
2907.3	-11.1149
2907.85	-10.7884
2908.4	-8.999
2908.4	-8.999
2908.46	-10
2908.95	-10.2904
2910.05	-10.9855
2910.6	-10.1444
2911.4	-11.5
2915.03	-10.7
2916.87	-12.4
2919.84	-8.7
2920.42	-7.6
2921.54	-7.5
2924.37	-4.9
2926.55	-3.7
2929.27	-3.6
2933.18	-3.8
2935.8	-4.7
2939.99	-5.9
2944.29	-6.5
2948.63	-7.8
2955.06	-8.9
2961.87	-5.9
2969.14	-4.9
2969.69	-6.3
2975.04	-5.4
2981.55	-4.1
2987.04	-3.2
2992.37	-4.7
