# TAC data
# depth (m) TAC (cm3/g)
depth	data
3059.52	0.0936
3060.50	0.0930
3061.65	0.0944
3063.80	0.0937
3068.14	0.0872
3070.40	0.0908
3074.64	0.0926
3077.00	0.0928
3079.04	0.0932
3081.33	0.0950
3083.46	0.0901
3085.73	0.0901
3087.84	0.0878
3090.13	0.0897
3092.24	0.0899
3094.53	0.0866
3096.64	0.0908
3098.94	0.0893
3099.80	0.0876
3100.90	0.0869
3101.07	0.0888
3105.43	0.0912
3106.35	0.0915
3106.61	0.0906
3108.81	0.0891
3111.05	0.0890
3115.10	0.0920
3116.60	0.0911
3119.40	0.0902
3120.50	0.0940
3122.10	0.0929
3125.50	0.0889
3127.05	0.0901
3127.61	0.0920
3128.70	0.0923
3130.90	0.0914
3132.10	0.0880
3133.65	0.0887
3134.30	0.0905
3135.30	0.0921
3137.50	0.0939
3139.74	0.0899
3141.99	0.0926
3144.19	0.0917
3145.26	0.0923
3146.34	0.0881
3147.40	0.0881
3148.56	0.0868
3150.80	0.0905
3151.73	0.0898
3152.98	0.0918
3153.87	0.0911
3155.19	0.0955
3157.22	0.0885
3159.59	0.0903
3160.56	0.0921
3163.80	0.0897
3166.20	0.0914
3167.07	0.0878
3168.35	0.0874
3170.57	0.0878
3172.80	0.0864
3173.73	0.0902
3174.99	0.0878
3177.16	0.0887
3179.36	0.0897
3180.45	0.0922
3182.51	0.0884
3185.81	0.0883
3186.94	0.0867
3188.15	0.0910
3189.26	0.0958
3190.24	0.0904
3194.77	0.0921
3197.01	0.0926
3198.99	0.0908
3203.24	0.0917
3205.82	0.0924
3207.74	0.0912
3209.89	0.0919
3212.20	0.0899
3214.29	0.0888
3216.47	0.0908
3221.09	0.0877
3223.45	0.0908
3225.70	0.0923
3227.93	0.0890
3229.94	0.0894
3234.36	0.0945
3243.18	0.0869
3247.59	0.0923
3249.84	0.0878
3253.00	0.0901
3254.10	0.0932
